rxn_ID	Control	FeLim	FeEX	ZnLim	ZnEx
rxn00001_d0_f	0	0	0	0	0
rxn00048_d0	0	0	0	0	0
rxn00069_d0_f	0	0	0	0	0
rxn00076_d0	0	0	0	0	0
rxn00117_d0_f	0	0	0	0	0
rxn00122_d0	0	0	0	0	0
rxn00148_d0_f	0	0	0	0	0
rxn00151_d0	0	0	0	0	0
rxn00191_d0_f	0	0	0	0	0
rxn00192_d0	0	0	0	0	0
rxn00209_d0	0	0	0	0	0
rxn00237_d0_f	0	0.008558035	0	0	0
rxn00248_d0_f	0	0	0	0	0
rxn00272_d0_f	0	0	0	0	0
rxn00275_d0_f	0	0	0	0	0
rxn00300_d0	0	0	0	0	0
rxn00333_d0	0	0	0	0	0
rxn00338_d0	0	0	0	0	0
rxn00391_d0_f	0	0	0	0	0
rxn00533_d0	0	0	0	0	0
rxn00692_d0_f	0	0	0	0	0
rxn00737_d0	0	0	0	0	0
rxn00747_d0_f	0	0	0	0	0
rxn00781_d0_f	0	0	0	0	0
rxn00782_d0_f	0	0	0	0	0
rxn00830_d0_f	0	0	0	0	0
rxn00838_d0	0	0	0	0	0
rxn00839_d0_f	0	0	0	0	0
rxn00929_d0_f	0	0	0	0	0
rxn00931_d0_f	0	0	0	0	0
rxn00947_d0	0	0	0	0	0
rxn00980_d0	0	0	0	0	0
rxn01000_d0	0	0	0	0	0
rxn01100_d0_f	0	0	0	0	0
rxn01106_d0_f	0	0	0	0	0
rxn01115_d0_f	0	0	0	0	0
rxn01200_d0_f	0	0	0	0	0
rxn01213_d0	0	0	0	0	0
rxn01255_d0	0	0	0	0	0
rxn01301_d0_f	0	0	0	0	0
rxn01302_d0_f	0	0	0	0	0
rxn01334_d0_f	0	0	0	0	0
rxn01345_d0	0	0	0	0	0
rxn01353_d0_f	0	0	0	0	0
rxn01486_d0	0	0	0	0	0
rxn01512_d0_f	0	0	0	0	0
rxn01644_d0	0	0	0	0	0
rxn01673_d0_f	0	0	0	0	0
rxn01678_d0_f	0	0	0	0	0
rxn01827_d0	0	0	0	0	0
rxn02212_d0	0	0	0	0	0
rxn02251_d0	0	0	0	0	0
rxn02305_d0_f	0	0	0	0	0
rxn02374_d0	0	0	0	0	0
rxn02475_d0	0	0	0	0	0
rxn02476_d0_f	0	0	0	0.026624203	0.0265522
rxn02507_d0	0	0	0	0	0
