,rxn_ID,treatment,Pred,FBA,kapp,Vbf,RES,subsystems,rxn_dist_quantile
0,EX_cpd00001_e0_i,Control,0.7572075,0.005733110074228976,,,,,
1,EX_cpd00007_e0_o,Control,0.11738127,0.008461262916857061,,,,,
2,EX_cpd00008_e0_o,Control,0.08209331,0.0,,,,,
3,EX_cpd00009_e0_i,Control,0.0,0.00013199851086095912,,,,,
4,EX_cpd00009_e0_o,Control,0.4366852999999997,,,,,,
5,EX_cpd00011_e0_i,Control,0.35202843,0.007873179827780522,,,,,
6,EX_cpd00013_e0_o,Control,0.0,0.0,,,,,
7,EX_cpd00013_e0_i,Control,0.3301772999999999,0.0007151927662019129,,,,,
8,EX_cpd00048_e0_o,Control,0.0,0.0,,,,,
9,EX_cpd00048_e0_i,Control,0.0038458999999999577,1.790277142610663e-05,,,,,
10,EX_cpd00067_e0_o,Control,0.7869508,0.0009925480096802176,,,,,
11,EX_cpd11632_e0_i,Control,0.63548243,0.0687275459867283,,,,,
12,bio1_biomass,Control,0.03264245,0.00022952271059110943,,,,,
13,rxn00001_d0_f,Control,0.0,0.00014689453477831582,0.0,0.0,,,
14,rxn00001_d0_r,Control,0.0,0.0,0.0,0.0,,,
15,rxn00018_d0,Control,0.058120728,0.008792257617800512,0.2062487363459626,24.66641922429911,119.5954926139452,"{'Rubisco_shunt_in_plants', 'Calvin-Benson-Bassham_cycle_in_plants', 'Photorespiration_(oxidative_C2_cycle)_in_plants'}",
16,rxn00048_d0,Control,0.0,0.0,0.0,0.0,49.202798434505205,"{'Riboflavin,_FMN_and_FAD_biosynthesis_in_plants'}",
17,rxn00069_d0_f,Control,0.0,0.0,0.0,0.0,,,
18,rxn00069_d0_r,Control,0.22966826,0.0,0.0145345135170204,1.7411443023407644,,,
19,rxn00076_d0,Control,0.0,0.0,0.0,0.0,43.170969050508496,"{'Niacin,_NAD_and_NADP_biosynthesis_in_plants'}",
20,rxn00077_d0_f,Control,0.0,0.0,0.0103845420376313,1.2419444205607475,,,
21,rxn00077_d0_r,Control,0.021036386000000004,0.0,0.0103845420376313,1.2419444205607475,,,
22,rxn00086_d0_f,Control,0.0,0.0,0.0141429915180942,1.3801977494902542,,,
23,rxn00086_d0_r,Control,0.044408324,1.7902771426106637e-05,0.0146847234387183,1.4330647243955197,,,
24,rxn00097_d0_r,Control,0.0,0.0,0.0,0.0,,,
25,rxn00097_d0_f,Control,0.051207542,0.0001468945347783166,0.0447229603572377,5.3486644750777925,,,
26,rxn00102_d0_f,Control,0.0,0.0,0.0033674884192294,1.21233703642684,,,
27,rxn00102_d0_r,Control,0.1242218,0.0006265969999137285,0.0081291596010735,2.9265969269944594,,,
28,rxn00117_d0_f,Control,0.0,0.0,0.0,0.0,,,
29,rxn00117_d0_r,Control,0.015242219,0.0,0.0705187027416356,1.5384692357427958,,,
30,rxn00121_d0,Control,0.013283014,0.0,0.0217645160062172,0.951721074769146,43.72810654265314,"{'Riboflavin,_FMN_and_FAD_biosynthesis_in_plants'}",
31,rxn00122_d0,Control,0.0,0.0,0.0867269918089205,1.7365324278334204,20.02297544989684,"{'Riboflavin,_FMN_and_FAD_biosynthesis_in_plants'}",
32,rxn00124_d0_f,Control,0.0,0.0,0.0838277487400429,1.0943769696297143,,,
33,rxn00124_d0_r,Control,0.015792847,0.0,0.0838277487400429,1.0943769696297143,,,
34,rxn00148_d0_f,Control,0.0,0.0,0.0,0.0,,,
35,rxn00148_d0_r,Control,0.052206516,0.001297652548868957,0.0353387246108504,5.890199216809784,,,
36,rxn00151_d0,Control,0.0,0.0,0.0,0.0,132.97033053784793,"{'Glycolysis_and_Gluconeogenesis_in_plants', 'Glutamine,_glutamate,_aspartate,_asparagine_metabolism_in_plants'}",
37,rxn00154_c0,Control,0.001453757,0.00012669653624629575,0.0029331094458961,0.3195363349767428,108.94115643172432,"{'TCA_cycle_in_plants', 'Acetyl-CoA_biosynthesis_in_plants'}",
38,rxn00154_d0,Control,0.001341343,0.0006972899947757913,0.075704794475405,2.1837631197251945,28.84577040143283,"{'TCA_cycle_in_plants', 'Acetyl-CoA_biosynthesis_in_plants'}",
39,rxn00161_d0_f,Control,0.0,0.0,0.0033668212536608,1.378334591560613,,,
40,rxn00161_d0_r,Control,0.08483970000000002,0.00026617748747250684,0.0042313071111024,1.7322443097943765,,,
41,rxn00175_d0,Control,0.023630789,1.7902771426106637e-05,0.0003236144682723,0.0465354098115471,143.7989162226812,"{'Ethanol_Degradation_in_plants', 'Acetyl-CoA_biosynthesis_in_plants'}",
42,rxn00179_d0_f,Control,0.0,2.203418021674661e-05,0.0247083548568845,1.370498014824196,,,
43,rxn00179_d0_r,Control,0.011112451,0.0,0.0235958813145013,1.3087924585371986,,,
44,rxn00187_d0,Control,0.34538484,0.00087172725482505,0.0198080614693892,2.368954869158912,119.5954926139452,"{'Glutamine,_glutamate,_aspartate,_asparagine_metabolism_in_plants'}",
45,rxn00191_d0_f,Control,0.0,0.0,0.0,0.0,,,
46,rxn00191_d0_r,Control,0.0,3.695315640516867e-05,0.0,0.0,,,
47,rxn00192_d0,Control,0.0,0.0,0.0,0.0,163.55733716779926,{'Arginine_metabolism_and_urea_cycle_in_plants'},
48,rxn00208_d0,Control,0.008125497,0.0,,,,,
49,rxn00209_d0,Control,0.0,0.0,,,,,
50,rxn00211_d0_r,Control,0.0,0.0,0.0157267617836573,1.3999125964285777,,,
51,rxn00211_d0_f,Control,0.0008406639999999979,8.951385713053283e-06,0.0160313706063103,1.4270272519235443,,,
52,rxn00213_d0_f,Control,0.0,0.0,0.0,0.0,,,
53,rxn00213_d0_r,Control,0.015571833,0.0,0.0205744045649762,2.462089388248541,,,
54,rxn00237_d0_f,Control,0.0,8.721863002465497e-06,0.0362172462993674,0.7901325048340522,,,
55,rxn00237_d0_r,Control,0.012494326,0.0,0.0355538897611001,0.7756604061314971,,,
56,rxn00239_d0_f,Control,0.0,0.0,0.232058046669494,0.9495749454342672,,,
57,rxn00239_d0_r,Control,0.013038993,0.0,0.232058046669494,0.9495749454342672,,,
58,rxn00248_d0_f,Control,0.0,0.0003272305284897513,0.0,0.0,,,
59,rxn00248_d0_r,Control,0.0,0.0,0.0,0.0,,,
60,rxn00249_d0_r,Control,0.0,0.0,,,,,
61,rxn00249_d0_f,Control,0.10644410999999998,0.0,,,,,
62,rxn00257_c0_f,Control,0.0,0.0,0.0123578388733495,1.1515523473179083,,,
63,rxn00257_c0_r,Control,0.006883855999999994,0.00011613849155910147,0.0154528393827033,1.4399567469886747,,,
64,rxn00260_d0_f,Control,0.0,0.0,0.0048982974170031,1.2554306872107976,,,
65,rxn00260_d0_r,Control,0.08871531499999999,0.0001937171677389028,0.0069705260834983,1.7865416503396183,,,
66,rxn00272_d0_f,Control,0.0,0.0,0.0,0.0,,,
67,rxn00272_d0_r,Control,0.0,0.0,0.0,0.0,,,
68,rxn00275_d0_f,Control,0.0,1.0558044687194272e-05,0.0,0.0,,,
69,rxn00275_d0_r,Control,0.0,0.0,0.0,0.0,,,
70,rxn00300_d0,Control,0.0,0.0,0.0,0.0,249.451192342187,"{'Riboflavin,_FMN_and_FAD_biosynthesis_in_plants'}",
71,rxn00313_d0,Control,0.002356309,2.2034180216746504e-05,0.0013576954030858,0.051579535739181,37.99050628141597,{'Lysine_and_threonine_metabolism_in_plants'},
72,rxn00330_c0,Control,0.0,1.0558044687194272e-05,0.0002920153328995,1.0558044687194272e-05,0.036155788746979,{'TCA_cycle_in_plants'},
73,rxn00333_d0,Control,0.0,0.0,0.0,0.0,228.21212359364307,{'Photorespiration_(oxidative_C2_cycle)_in_plants'},
74,rxn00337_d0_r,Control,0.0,0.0,0.0062648002497523,1.2323048777621262,,,
75,rxn00337_d0_f,Control,0.0013842599999999983,7.436535823151972e-05,0.007262612838062,1.4285775872894682,,,
76,rxn00338_d0,Control,0.0,0.0,0.0,0.0,60.22701968220207,"{'Niacin,_NAD_and_NADP_biosynthesis_in_plants'}",
77,rxn00361_d0_f,Control,0.0,0.0,0.0410877098031279,1.1389504409836673,,,
78,rxn00361_d0_r,Control,0.0277071,0.0,0.0410877098031279,1.1389504409836673,,,
79,rxn00391_d0_f,Control,0.0,0.0002586950471071784,0.0,0.0,,,
80,rxn00391_d0_r,Control,0.0,0.0,0.0,0.0,,,
81,rxn00392_d0_f,Control,0.0,0.0002586950471071784,,,,,
82,rxn00392_d0_r,Control,0.012991076999999997,0.0,,,,,
83,rxn00394_d0_r,Control,0.0,0.0,0.0310331824626268,1.252134763531977,,,
84,rxn00394_d0_f,Control,0.024549007000000005,0.0,0.0310331824626268,1.252134763531977,,,
85,rxn00409_d0_f,Control,0.0,0.0,0.0355595495182287,0.7757838820589541,,,
86,rxn00409_d0_r,Control,0.013000250000000001,0.0,0.0355595495182287,0.7757838820589541,,,
87,rxn00414_d0,Control,0.10092851,5.0265473619452014e-05,0.0013361982914888,0.1119555913201859,83.78665953496966,"{'Pyrimidine_de_novo_biosynthesis_in_plants', 'Arginine_metabolism_and_urea_cycle_in_plants'}",
88,rxn00416_d0,Control,0.0,1.2853271793102209e-05,0.0007076375423678,0.0144780797691068,20.459739488469975,"{'Glutamine,_glutamate,_aspartate,_asparagine_metabolism_in_plants'}",
89,rxn00420_d0,Control,0.07771066,0.00011636801426969925,0.0172667109783893,0.2178864808784479,12.618875774960868,"{'Alanine,_serine,_glycine_metabolism_in_plants'}",
90,rxn00459_d0_r,Control,0.0,0.0,0.2090077995396005,1.3151778971881851,,,
91,rxn00459_d0_f,Control,0.008506298,0.001617607207432964,0.9932242651202506,6.249846193848065,,,
92,rxn00493_d0_f,Control,0.0,0.0,0.0049034545803281,1.2567524650748196,,,
93,rxn00493_d0_r,Control,0.0020632740000000004,0.00014322217140885288,0.0049163039291329,1.2600457454591707,,,
94,rxn00495_c0,Control,0.001484186,0.00012623749082511072,0.0008383096656831,0.3145416667455933,375.2094000840059,"{'Lignin_biosynthesis_in_plants', 'Phenylpropanoids_general_biosynthesis_in_plants'}",
95,rxn00499_c0_r,Control,0.0,8.951385713053268e-06,0.0765399934335134,1.2029317149757908,,,
96,rxn00499_c0_f,Control,0.0013927229999999985,0.0,0.075070225005188,1.1798322740588214,,,
97,rxn00506_d0_r,Control,0.0,0.0,0.0097375009008166,1.2129916167552797,,,
98,rxn00506_d0_f,Control,0.0034956929999999976,0.0,0.0097375009008166,1.2129916167552797,,,
99,rxn00527_d0_f,Control,0.0,0.0,0.0034427559763249,1.268150121269372,,,
100,rxn00527_d0_r,Control,0.001739979,0.0,0.0034427559763249,1.268150121269372,,,
101,rxn00533_d0,Control,0.0,0.0005763315262942765,0.0062799429511358,1.514316945936334,241.1354621720617,"{'Acetyl-CoA_carboxylase_complexes_in_plants', 'Fatty_acid_biosynthesis_in_plants_(plastidial)'}",
102,rxn00611_d0_f,Control,0.0,0.0,0.0357739212945338,1.545585978995883,,,
103,rxn00611_d0_r,Control,0.0044445990000000005,2.983795237684423e-05,0.0381016777098173,1.6461549842318155,,,
104,rxn00689_d0_f,Control,0.0,0.0,0.0242231693660907,1.1779599515660588,,,
105,rxn00689_d0_r,Control,0.004245280999999997,0.0,0.0242231693660907,1.1779599515660588,,,
106,rxn00692_d0_f,Control,0.0,0.0,0.0053289615306865,1.1465625200063032,,,
107,rxn00692_d0_r,Control,0.020135045,7.000442673029505e-05,0.0061547265222787,1.3242315056502894,,,
108,rxn00693_d0_r,Control,0.0,0.0,0.0077517303326877,1.221280187162448,,,
109,rxn00693_d0_f,Control,0.0028278820000000038,1.1246612818964369e-05,0.0079382351351056,1.250663900246888,,,
110,rxn00710_c0,Control,0.0,2.501797545443102e-05,0.0047642924766399,0.0561652856077859,11.788798837009358,{'Pyrimidine_de_novo_biosynthesis_in_plants'},
111,rxn00711_d0,Control,0.0,0.0,0.0,0.0,14.91038165022108,{'Pyrimidine_de_novo_biosynthesis_in_plants'},
112,rxn00720_d0_f,Control,0.0,0.0,0.0955983497641305,1.1929136229049673,,,
113,rxn00720_d0_r,Control,0.003618479000000001,0.0,0.0955983497641305,1.1929136229049673,,,
114,rxn00737_d0,Control,0.0,1.9050384979062164e-05,0.0011033816709346,0.0465315427897079,42.17175617054824,{'Branched-chain_amino_acid_metabolism_in_plants'},
115,rxn00747_d0_f,Control,0.0,0.006413530149776359,0.1616222931473667,19.329297766354788,,,
116,rxn00747_d0_r,Control,0.0,0.0,0.0091228822094679,1.0910555919003118,,,
117,rxn00770_d0_f,Control,0.0,6.426635896551416e-05,0.0385016838314356,1.766098022613298,,,
118,rxn00770_d0_r,Control,0.04673147,0.0,0.0337573322122637,1.5484714364648635,,,
119,rxn00777_d0_r,Control,0.0,0.0,0.0098465484945851,1.1776028177570097,,,
120,rxn00777_d0_f,Control,0.016670227,0.0028345825235291605,0.0772147430236448,9.234535228971987,,,
121,rxn00781_d0_f,Control,0.0,0.0,0.0,0.0,,,
122,rxn00781_d0_r,Control,0.0,0.0,0.0,0.0,,,
123,rxn00782_d0_f,Control,0.0,0.0,0.0,0.0,,,
124,rxn00782_d0_r,Control,0.0,0.015850540013898358,0.0,0.0,,,
125,rxn00789_d0,Control,0.0,8.721863002462151e-06,0.0002350336770686,0.0165727574775024,70.51226736610647,{'Histidine_Biosynthesis_in_plants'},
126,rxn00790_d0,Control,0.0,2.5017975454434326e-05,0.0005446006319421,0.0716521710761232,131.56828485600855,{'Purine_de_novo_biosynthesis_in_plants'},
127,rxn00791_d0,Control,0.0,5.508545054186664e-06,0.0008284690236602,0.013308418841632,16.0638701768641,{'Tryptophan_metabolism_in_plants'},
128,rxn00799_c0_f,Control,0.0,0.0,0.0313002690313652,0.9333861899801096,,,
129,rxn00799_c0_r,Control,0.042347549999999956,5.8987336621921204e-05,0.0353157711927412,1.0531300253927642,,,
130,rxn00800_d0_f,Control,0.0,8.721863002465493e-06,0.0834716309406977,1.002420173826335,,,
131,rxn00800_d0_r,Control,0.002220034999999995,0.0,0.0819427611948683,0.9840598056497398,,,
132,rxn00802_d0_r,Control,0.0,0.0,0.2660888100936774,1.1847649829438711,,,
133,rxn00802_d0_f,Control,0.029646755999999996,2.5247498165021455e-05,0.2804644246921527,1.2487726530844314,,,
134,rxn00830_d0_f,Control,0.0,0.0,0.010639498397997,1.0973831862024792,,,
135,rxn00830_d0_r,Control,0.0,0.0,0.010639498397997,1.0973831862024792,,,
