rxn_ID,subsystems,kapp,Pred_Control,Pred_FeEX,Pred_FeLim,Pred_ZnEx,Pred_ZnLim,FBA_Control,FBA_FeEX,FBA_FeLim,FBA_ZnEx,FBA_ZnLim,Vbf_Control,Vbf_FeEX,Vbf_FeLim,Vbf_ZnEx,Vbf_ZnLim,RES_Control,RES_FeEX,RES_FeLim,RES_ZnEx,RES_ZnLim
EX_cpd00001_e0_i,,,0.7572075,0.75507385,0.7598535,0.7571095,0.75792557,0.005733110074228976,6.521103705568919,0.007087430479766355,0.021530360027988873,0.040578195608733485,,,,,,,,,,
EX_cpd00007_e0_o,,,0.11738127,0.117407374,0.11589331,0.11680051,0.117205426,0.008461262916857061,9.624230521743467,0.010460049068971427,0.03177577868429531,0.05988770096714453,,,,,,,,,,
EX_cpd00008_e0_o,,,0.08209331,0.082694635,0.082865395,0.08228519,0.08154444,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
EX_cpd00009_e0_i,,,0.0,0.0,0.0,0.0,0.0,0.00013199851086095912,0.15014119163249243,0.0001631802384826092,0.0004957126978548474,0.000934268019352113,,,,,,,,,,
EX_cpd00009_e0_o,,,0.4366852999999997,0.43911549999999977,0.4389997000000001,0.4349048999999998,0.43230009999999996,,,,,,,,,,,,,,,
EX_cpd00011_e0_i,,,0.35202843,0.3507301,0.33822542,0.34288645,0.34660095,0.007873179827780522,8.955317704493023,0.009733044361894226,0.029567266991644362,0.05572532656411248,,,,,,,,,,
EX_cpd00013_e0_i,,,0.3301772999999999,0.3336649000000005,0.3285285,0.3261384999999999,0.3208965999999993,0.0007151927662019129,0.8134932240076715,0.0008841412330234278,0.0026858646609556544,0.005062039903148986,,,,,,,,,,
EX_cpd00013_e0_o,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
EX_cpd00048_e0_i,,,0.0038458999999999577,0.0038290000000000823,0.0038177999999997603,0.0038063999999997655,0.0038224000000002256,1.790277142610663e-05,0.020363437571436847,2.213190506284536e-05,6.723281243727122e-05,0.0001267134507206714,,,,,,,,,,
EX_cpd00048_e0_o,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
EX_cpd00067_e0_o,,,0.7869508,0.7895919,0.78123367,0.78101337,0.78444904,0.0009925480096802176,1.1289698645374733,0.0012270155160739803,0.003727456078253097,0.007025123670467722,,,,,,,,,,
EX_cpd11632_e0_i,,,0.63548243,0.6352664,0.6314588,0.63225526,0.6342786,0.0687275459867283,78.17387927424126,0.08496290807592603,0.25810228475918895,0.48644448975327714,,,,,,,,,,
bio1_biomass,,,0.03264245,0.032682437,0.032924168,0.032747608,0.03250655,0.00022952271059110943,0.26106971245431815,0.00028374237260058143,0.000861959133811169,0.0016245314194957901,,,,,,,,,,
