rxn_ID	control	cold
rxn00001_d0_f	0	0
rxn00048_d0	0	0
rxn00069_d0_f	0	0
rxn00076_d0	0	0
rxn00077_d0_f	0	0
rxn00117_d0_f	0	0
rxn00122_d0	0	0
rxn00148_d0_f	0	0
rxn00151_d0	0	0
rxn00154_d0	0	0
rxn00191_d0_f	0	0
rxn00192_d0	0	0
rxn00208_d0	0	0
rxn00209_d0	0	0
rxn00237_d0_f	0	0
rxn00248_d0_f	0	0
rxn00260_d0_f	0	0
rxn00272_d0_f	0	0
rxn00275_d0_f	0	0
rxn00300_d0	0	0
rxn00313_d0	0	0
rxn00333_d0	0	0
rxn00338_d0	0	0
rxn00361_d0_f	0	0
rxn00391_d0_f	0	0
rxn00392_d0_f	0	0
rxn00409_d0_f	0	0
rxn00459_d0_f	0	0
rxn00493_d0_f	0	0.001872301
rxn00527_d0_f	0	0.000540853
rxn00611_d0_f	0	0
rxn00692_d0_f	0	0.006112754
rxn00737_d0	0	0
rxn00747_d0_f	0	0
rxn00777_d0_f	0	0
rxn00781_d0_f	0	0
rxn00782_d0_f	0	0
rxn00830_d0_f	0	0
rxn00839_d0_f	0	0
rxn00929_d0_f	0	0
rxn00931_d0_f	0	0
rxn00947_d0	0	0
rxn00980_d0	0	0
rxn01000_d0	0	0
rxn01100_d0_f	0	0
rxn01102_d0_f	0	0
rxn01106_d0_f	0	0
rxn01111_d0_f	0	0
rxn01115_d0_f	0	0
rxn01200_d0_f	0	0
rxn01213_d0	0	0
rxn01249_d0_f	0	0
rxn01255_d0	0	0
rxn01301_d0_f	0	0
rxn01302_d0_f	0	0
rxn01334_d0_f	0	0
rxn01345_d0	0	0
rxn01353_d0_f	0	0
rxn01486_d0	0	0
rxn01512_d0_f	0	0
rxn01636_d0_f	0	0
rxn01637_d0_f	0	0.002056956
rxn01643_d0_f	0	0
rxn01644_d0	0	0
rxn01673_d0_f	0	0
rxn01678_d0_f	0	0
rxn01739_d0_f	0	0
rxn01827_d0	0	0
rxn01917_d0_f	0	0
rxn02212_d0	0	0
rxn02213_d0_f	0	0
rxn02251_d0	0	0
rxn02305_d0_f	0	0.000919104
rxn02320_d0_f	0	0
rxn02374_d0	0	0
rxn02380_d0_f	0	0
rxn02473_d0	0	0
rxn02474_d0_f	0	0
rxn02475_d0	0	0
rxn02476_d0_f	0	0
rxn02507_d0	0	0
rxn02789_d0_f	0	0.013838887
rxn02811_d0_f	0	0
rxn02895_d0	0	0
rxn02914_d0_f	0	0
rxn02928_d0_f	0	0
rxn02929_d0_f	0	0
rxn02937_d0	0	0.003845334
rxn03080_d0	0	0
rxn03108_d0_f	0	0
rxn03137_d0_f	0	0
rxn03147_d0	0	0
rxn03891_d0	0	0
rxn03892_d0	0	0
rxn03909_d0	0	0
rxn03910_d0	0	0
rxn04113_d0	0	0
rxn04674_d0	0	0
rxn05023_d0	0	0
rxn05024_d0_f	0	0
rxn05040_d0	0	0
rxn05104_d0	0	0
rxn05105_d0_f	0	0
rxn05106_d0	0	0
rxn05287_d0	0	0
rxn05324_d0_f	0	0
rxn05325_d0_f	0	0
rxn05326_d0_f	0	0
rxn05330_d0_f	0	0
rxn05331_d0_f	0	0
rxn05335_d0_f	0	0
rxn05343_d0_f	0	0
rxn05345_d0_f	0	0
rxn05346_d0_f	0	0
rxn05348_d0_f	0	0
rxn05350_d0_f	0	0
rxn05736_d0	0	0
rxn07579_d0_f	0	0
rxn08352_d0	0	0
rxn08392_d0_f	0	0
rxn08756_d0	0	0
rxn08766_d0_f	0	0
rxn09444_d0	0	0
rxn09449_d0	0	0
rxn09453_d0	0	0
rxn11040_d0_f	0	0
rxn11702_d0	0	0
rxn12282_d0	0	0
rxn14012_d0	0	0
rxn14085_d0	0	0
rxn14102_d0	0	0.00673954
rxn14183_d0	0	0.006429827
rxn14205_d0	0	0.00673954
rxn14308_d0	0	0.00673954
rxn14347_d0	0	0.00673954
rxn15022_d0	0	0
rxn15069_d0_f	0	0
rxn15116_d0_f	0	0
rxn15166_d0	0	0
rxn15250_d0	0	0
rxn15271_d0_f	0	0
rxn15298_d0_f	0	0
rxn15364_d0_f	0	0
rxn15493_d0_f	0	0
rxn15494_d0_f	0	0
rxn16426_d0	0	0
rxn16427_d0	0	0
rxn16428_d0	0	0
rxn17196_d0	0	0
rxn17469_d0_f	0	0
rxn18935_d0_f	0	0
rxn18936_d0_f	0	0
rxn18937_d0_f	0	0
rxn19027_d0_f	0	0
rxn19029_d0_f	0	0
rxn19030_d0_f	0	0
rxn19071_d0	0	0
rxn19240_d0_f	0	0
rxn19241_d0_f	0	0
rxn19242_d0_f	0	0
rxn19246_d0	0	0
rxn19253_d0	0	0
rxn19343_d0	0	0
rxn19544_d0	0	0
rxn19545_d0	0	0
rxn19686_d0_f	0	0
rxn19828_d0_f	0	0
rxn19900_d0	0	0
rxn19905_d0	0	0
rxn20583_d0_f	0	0
rxn20643_d0	0	0
rxn23155_d0_f	0	0
rxn23415_d0_f	0	0
rxn23805_d0	0	0
rxn24109_d0	0	0
rxn24310_d0	0	0
rxn24312_d0	0	0
rxn25637_d0_f	0	0.00090766
rxn25647_d0_f	0	0
rxn25662_d0_f	0	0
rxn25719_d0_f	0	0
