rxn_ID	Control	FeLim	FeEx	ZnLim	ZnEx
EX_cpd00067_e0_o	359.1344	362.20947	357.88492	357.39078	357.1181
EX_cpd00007_e0_o	89.66676	61.88115	40.41126	40.7811	58.17218
EX_cpd00009_e0_o	318.76157	316.42923	324.58536	321.94034	320.97534
EX_cpd00008_e0_o	377.37735	374.97336	380.03412	380.0017	380.32816
rxn00001_d0_f	26.41803	13.861084	32.329468	32.59973	31.321167
rxn00018_d0	42.755188	35.76131	42.426407	42.78975	44.50931
rxn00048_d0	0	0	0	0	0
rxn00069_d0_f	1.7451172	0	0.89971924	0.7811279	0
rxn00076_d0	0	0	0	0	0
rxn00077_d0	0	0	0	0	0
rxn00086_d0_f	0	0	0	0	0
rxn00097_d0_f	25.226318	13.257324	30.6922	24.95398	27.575928
rxn00102_d0_f	18.672974	10.517334	20.11029	19.436035	18.698608
rxn00117_d0_f	2.5889893	3.359253	1.7210693	3.973938	3.355713
rxn00121_d0	20.799927	8.1189575	24.31009	21.82071	21.895813
rxn00122_d0_f	24.453766	13.790649	28.857178	26.870209	25.10907
rxn00124_d0	0	0	0	0	0
rxn00148_d0_f	17.290405	19.207031	15.852356	16.242126	15.808655
rxn00151_d0	0	0	0.4512329	0	0
rxn00154_d0	0	1.7054691	0	0.13112068	0.013166428
rxn00161_d0	0	0	0	0	0
rxn00175_d0	0.19845666	0.3079346	0.2336232	0.21281396	0.2601234
rxn00179_d0_f	15.770813	0	12.712769	10.138855	13.81842
rxn00187_d0	22.662678	36.93568	27.437822	23.131819	19.931738
rxn00191_d0_f	0	0	0	0.06689453	0
rxn00192_d0	0	0	0	0	0
rxn00208_d0	0	0	0	0	0
rxn00209_d0	0	0	0	0	0
rxn00237_d0_f	9.020142	9.412964	7.310913	11.832092	8.473816
rxn00248_d0_f	16.658691	9.765076	9.431763	20.393127	17.818726
rxn00260_d0_f	4.369446	0	5.943115	3.0634766	2.5981445
rxn00272_d0_f	0	0	0	0	0
rxn00275_d0_f	0	0	0	0	0
rxn00300_d0	0	0	0	0	0
rxn00313_d0	0	0	0	0	0
rxn00333_d0	0	0	0	0	0
rxn00337_d0_f	18.63977	4.8432617	17.560059	22.58545	14.199829
rxn00338_d0	0	0	0	0	0
rxn00361_d0	0	0	0	0	0
rxn00391_d0_f	43.84552	20.08789	42.66382	31.606567	35.546814
rxn00392_d0	45.28928	24.422297	45.038593	34.41559	37.324024
rxn00394_d0	0	0	0	0	0
rxn00409_d0_f	2.5855713	3.3514404	1.7113037	3.9573364	3.1185303
rxn00414_d0	0.52252406	1.0158837	0.5744386	0.5891926	0.5115897
rxn00420_d0_f	0	0	0.19812012	0.21722412	0.12927246
rxn00459_d0_f	0	0	0	0	0
rxn00493_d0_f	0.4880371	0	0.12774658	1.0093994	1.3809814
rxn00506_d0	0	0	0	0	0
rxn00527_d0_f	0.3770752	0	0.10095215	0.791687	1.1304321
rxn00533_d0_f	15.300232	14.526611	11.166992	14.436829	12.44458
rxn00611_d0_f	0	0	0	0	0
rxn00689_d0	0	0	0	0	0
rxn00692_d0_f	2.06427	0	2.564331	2.6428223	2.4910278
rxn00693_d0_f	0	0	0	0	0
rxn00720_d0_f	0	0	0	0	0
rxn00737_d0	0	0	0	0	0
rxn00747_d0_f	23.602417	9.849976	20.273743	19.69104	19.65857
rxn00770_d0	0.89422226	0	2.3108	1.1822613	0.19723248
rxn00777_d0_f	3.2174072	8.248901	2.7722168	3.1600342	11.53717
rxn00781_d0_f	0	0	0	0	0
rxn00782_d0_f	0	0	0	0	0
rxn00800_d0_f	8.928589	5.178955	10.508423	7.911743	9.941772
rxn00802_d0_f	8.21051	2.5461426	7.6729126	9.071716	6.9577026
rxn00830_d0_f	0	0	0	0	0
rxn00832_d0_f	0	0	0	0	0
rxn00838_d0	2.5548515	6.296229	2.986936	3.1726067	2.923825
rxn00839_d0_f	2.5855713	3.3514404	1.7113037	3.9573364	3.0766602
rxn00863_d0_f	0.34368896	0	0	0	0
rxn00899_d0	0	0	0	0	0
rxn00907_d0_f	13.477142	1.9787598	10.56311	10.381897	12.060486
rxn00929_d0_f	0	0	0	0	0
rxn00931_d0_f	0	0	0	0	0
rxn00947_d0	0	0	0	0	0
rxn00974_d0_f	5.119446	3.857666	7.003479	7.0579834	5.073059
rxn00980_d0_f	0	0	0.21478271	0.4512329	0.23773193
rxn01000_d0	0	0	0	0	0
rxn01011_d0_f	0	0	0	0	0
rxn01018_d0_f	1.4429932	0	0	0	1.6465454
rxn01019_d0_f	0	0	0	0	0
rxn01069_d0_f	0	0	0.536438	0.81604004	0.61206055
rxn01100_d0_f	71.34082	59.899414	71.57416	68.31909	68.466675
rxn01101_d0_f	4.537842	4.73822	5.365967	6.118469	6.692444
rxn01102_d0	0	0	0	0	0
rxn01106_d0_f	0	0	0	0	0
rxn01111_d0	34.981552	31.75357	35.18081	35.56079	40.36969
rxn01115_d0	0	0	0	0	0
rxn01116_d0_f	0	0	0	0	0
rxn01200_d0_f	7.088379	5.7647705	7.4157104	7.4994507	11.264709
rxn01207_d0	0	0	0	0	0
rxn01211_d0_f	8.432465	0	4.5181885	5.083313	6.058899
rxn01249_d0_f	0	0	0	0	0
rxn01255_d0	2.8170633	3.560397	3.2237425	2.103588	3.276328
rxn01256_d0	1.8654087	1.8107252	1.605766	1.412266	1.6320589
rxn01257_d0_f	2.2857056	0	0	0	0
rxn01258_d0_f	0	0	0	0	0
rxn01301_d0_f	0	0	0	0	0
rxn01302_d0_f	0	0	0	0	0
rxn01332_d0	3.0499864	10.381236	3.2708101	2.8654587	1.9948161
rxn01334_d0_f	0	0	0	0	0
rxn01345_d0_f	6.87854	1.7194824	6.9814453	7.4888306	9.318909
rxn01353_d0_f	2.5855713	3.3514404	1.7113037	3.9573364	3.0766602
rxn01396_d0	0	0	0	0	0
rxn01434_d0	0.20398636	0.7280184	0.16608185	0.19702473	0.14663963
rxn01465_d0_f	0	0	1.7979126	2.4915771	1.2515259
rxn01476_d0_f	0.4088745	0	0	0	0
rxn01486_d0	0	0	0	0	0
rxn01512_d0_f	2.5855713	3.3514404	1.7113037	3.9573364	3.0766602
rxn01539_d0_f	0	0.17409794	0.6400356	0.15060328	0.000316869
rxn01636_d0_f	0	0	0	0	0
rxn01637_d0_f	0	0	0	0	0
rxn01643_d0_f	0	0	0	0	0
rxn01644_d0	0	0	0	0	0
rxn01652_d0_f	0.6802368	0	0.8200073	0.97229004	1.3494873
rxn01673_d0_f	2.5855713	3.3514404	1.7113037	3.9573364	3.0766602
rxn01678_d0_f	2.5855713	3.3514404	1.7113037	3.9573364	3.0766602
rxn01739_d0	2.761866	2.0084596	2.8261533	2.5594378	3.6702235
rxn01740_d0_f	0	0	0	0	0
rxn01807_d0	0	0	0	0	0
rxn01827_d0	0	0	0	0	0
rxn01917_d0_f	8.636475	6.359375	7.44281	6.486084	6.475342
