rxn_ID,Control,FeLim,FeEx,ZnLim,ZnEx,fluxes_Control,fluxes_FeLim,fluxes_FeEX,fluxes_ZnLim,fluxes_ZnEx,rml_Control,rml_FeLim,rml_FeEx,rml_ZnLim,rml_ZnEx
bio1_biomass,0.9916603,0.987179,1.4473567,2.2030673,1.309644,2.651814294,0.0377935,0.22307743,0.154099605,0.063985588,0.27086288,0.39354455,0.06806286,0.32797226,0.6294867
EX_cpd00001_e0_i,348.45673,339.5258,333.32428,343.65793,342.66766,487.2093544,6.943678871,40.9853023,28.31222737,11.75586731,332.61044,313.42548,327.7955,327.3832,329.8552
EX_cpd00002_e0_i,387.80795,384.11996,388.9356,381.96014,386.67117,430.1972034,6.13114507,36.18929372,24.99919372,10.38022196,369.58105,379.81436,371.72983,371.9221,369.5275
EX_cpd00007_e0_o,90.21607,44.258595,42.951893,42.271122,46.58795,120.822891,1.721960688,10.16393193,7.021140153,2.91533375,93.312904,60.888355,52.5664,50.447315,58.61536
EX_cpd00008_e0_o,379.501,380.0587,380.72424,378.7174,379.49634,433.2725124,6.174974192,36.44799662,25.17790304,10.45442604,359.62384,368.18195,362.1546,362.94888,360.87766
EX_cpd00009_e0_o,316.5614,318.6844,320.855,317.60583,318.44992,422.5215269,6.021751783,35.5435961,24.55315242,10.19501567,307.60956,314.38824,313.5333,314.03745,311.79877
EX_cpd00011_e0_i,150.20793,159.79773,152.24731,154.06836,152.3733,121.716685,1.734698988,10.23912017,7.073079425,2.936900092,122.948,123.512344,129.25244,130.6812,132.96805
EX_cpd00013_e0_i,41.546337,35.020958,45.429623,42.721592,33.662804,23.63959852,0.336910158,1.988623747,1.373720932,0.570399523,60.478386,77.488594,67.80625,60.907516,56.630222
EX_cpd00048_e0_i,15.75535,15.615042,15.746349,15.74724,15.664532,0.206841515,0.002947893,0.01740004,0.012019769,0.004990876,16.836256,16.236397,16.872435,16.712492,16.153635
EX_cpd00067_e0_o,358.80713,355.0172,355.975,354.42508,354.1713,450.8906362,6.426066649,37.93007844,26.20170999,10.87953349,358.50418,353.30008,353.24774,355.11777,353.94125
EX_cpd11632_e0_i,444.10867,30.628975,39.287357,32.126976,37.686245,978.5693286,13.94651213,82.3197654,56.86565144,23.61188486,435.29135,100.920845,69.66505,48.7094,88.55205
rxn_cpd00002_c0_i,413.63672,412.35086,414.48535,410.4418,413.98172,430.1972034,6.13114507,36.18929372,24.99919372,10.38022196,400.21112,408.31738,402.37473,402.2771,400.2908
rxn_cpd00002_c0_o,28.954683,31.356798,28.675653,31.607561,30.436464,0,0,0,0,0,33.755978,31.628937,33.77082,33.480938,33.88923
rxn_cpd00008_c0_i,4.4162774,5.3861847,3.97081,5.508702,4.893328,0,0,0,0,0,19.676123,15.047256,18.656986,18.326952,19.315863
rxn_cpd00008_c0_o,382.89197,383.72458,383.85315,382.50302,382.97104,433.2725124,6.174974192,36.44799662,25.17790304,10.45442604,376.17404,380.10327,377.68567,378.14993,377.0676
rxn_cpd00103_c0_i,1.0375392,1.3804337,1.0799654,0.63158596,0.7639598,0,0,0,0,0,2.9000678,4.4245706,2.9463482,2.449689,4.081061
rxn_cpd00103_c0_o,1.4728634,2.8786967,1.712791,2.218722,1.6639583,0.289047758,0.004119492,0.02431544,0.016796857,0.006974429,0,3.6586342,0,0,0
rxn00001_d0_f,27.148193,32.313354,35.387695,43.903564,34.242065,4.875890942,0.069490909,0.41017247,0.283342944,0.1176503,13.324707,0,14.696777,19.251709,24.23291
rxn00001_d0_r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rxn00018_d0,42.103943,49.86228,41.953033,44.930603,43.29973,135.410654,1.929864623,11.39109202,7.868849787,3.267321668,12.486954,14.552725,10.562744,12.330231,12.15963
rxn00048_d0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rxn00069_d0_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rxn00069_d0_r,8.8828125,3.6398315,3.0681152,2.8861084,0,17.63748205,0.25136835,1.483710292,1.024931885,0.425574544,0,0,0,0,0
rxn00076_d0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rxn00077_d0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rxn00086_d0_f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rxn00086_d0_r,0,0,0,0,0,0.206841515,0.002947893,0.01740004,0.012019769,0.004990876,2.18042,0,0,0.6022949,0.020996094
rxn00097_d0_f,22.257324,26.802612,32.066162,42.285645,29.21106,7.847779222,0.111846085,0.660175345,0.456042372,0.189358949,6.4172363,0,6.4416504,9.552734,12.437744
