,rxn_ID,Control,FeLim,FeEx,ZnLim,ZnEx,fluxes_Control,fluxes_FeLim,fluxes_FeEX,fluxes_ZnLim,fluxes_ZnEx,v_Control,v_FeLim,v_FeEX,v_ZnLim,v_ZnEx
0,EX_cpd00067_e0_o,358.80713,355.0172,355.975,354.42508,354.1713,313.16743500561006,91.0421830384489,330.3172992859651,365.6689091678675,201.88826268639033,,,,,
1,EX_cpd00007_e0_o,90.21607,44.258595,42.951893,42.271122,46.58795,83.91789898505489,24.396114875298476,88.51346166947145,97.98645437375892,54.09898010015389,,,,,
2,EX_cpd00009_e0_o,316.5614,318.6844,320.855,317.60583,318.44992,293.4635855917385,85.31399656571554,309.53441576612886,342.66177523183325,189.18586939211448,,,,,
3,EX_cpd00008_e0_o,379.501,380.0587,380.72424,378.7174,379.49634,300.93071461526796,87.48479611682374,317.41046422061765,351.3807434879064,193.9996703730131,,,,,
4,rxn00001_d0_f,27.148193,32.313354,35.387695,43.903564,34.242065,3.3865645837806877,0.9845220104145469,3.572021679559037,3.9543108214793583,2.1832015844255763,1000.0,1000.0,1000.0,1000.0,1000.0
5,rxn00018_d0,42.103943,49.86228,41.953033,44.930603,43.29973,94.04987326231971,27.341622465112444,99.20028924348473,109.81702028690354,60.63071506290162,137.43176807178628,137.43176807178628,137.43176807178628,137.43176807178628,137.43176807178628
6,rxn00048_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,rxn00069_d0_f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.047601358602,789.021244654265,998.4162756033132,1002.335129317874,998.0737196871758
8,rxn00076_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,rxn00077_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,rxn00086_d0_f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,868.1300165803917,781.9883383077438,955.4226985822132,1020.929815383271,844.8580364188252
11,rxn00097_d0_f,22.257324,26.802612,32.066162,42.285645,29.21106,5.450698444140186,1.5845947885031855,5.7491928854554875,6.364489827098497,3.51387761404745,1000.0,1000.0,1000.0,1000.0,1000.0
12,rxn00102_d0_f,17.493652,20.54596,20.038696,18.232727,0.0,0.0,0.0,0.0,0.0,0.0,1001.5620993214736,959.3207706658948,996.6345057622632,1000.021872752904,998.4249093237132
13,rxn00117_d0_f,3.8226318,3.4559937,3.3361816,3.3984985,4.967682,0.07183119528332363,0.02088233991742395,0.07576485859727133,0.08387345517903703,0.046307098380702495,1529.0433335024504,799.722374265749,1411.1748654035011,1126.7292481598142,509.7909678313704
14,rxn00121_d0,13.187317,9.848755,21.013489,19.042694,18.590149,0.0,0.0,0.0,0.0,0.0,361.3039699196664,479.5149665545916,405.9439826240784,420.3099173028144,337.31416664848086
15,rxn00122_d0_f,16.176392,14.147095,23.564453,21.668701,22.034119,0.0,0.0,0.0,0.0,0.0,637.7686318320025,877.533318628291,604.9718203460001,546.8953061227317,582.9683609828131
16,rxn00124_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,rxn00148_d0_f,19.011963,18.635498,18.62201,7.6324463,17.971619,0.0,0.0,0.0,0.0,0.0,993.0445082412606,824.5008669838826,992.174448628562,985.0194895826056,1038.3655860349406
18,rxn00151_d0,0.0,0.0,0.0,6.097595,0.0,0.0,0.0,0.0,0.0,0.0,835.0145351454981,857.2320161626396,866.1019714094623,853.8611705472815,868.9914214436799
19,rxn00154_d0,0.1670866,2.6774712,2.0065918,2.9618607,1.948492,5.595465930018901,1.626680735105998,5.9018882158592385,6.5335270983054965,3.6072042277070295,12.260411511544484,21.347701527905425,14.198943445373155,12.866621416496976,14.746248483948929
20,rxn00161_d0,0.0,0.33994937,0.0,0.12263012,0.0,0.0,0.0,0.0,0.0,0.0,4.286474274071457,3.252716857904268,3.9335611490456666,3.915957079768183,4.35351361008995
21,rxn00175_d0,0.24513634,0.17430435,0.2743607,0.26958662,0.2532878,0.14366239056664723,0.04176467983484787,0.15152971719454267,0.16774691035807396,0.09261419676140498,0.2353306870142958,0.2409177172893662,0.2372970373689561,0.2369262006476671,0.2495175071922023
22,rxn00179_d0_f,11.7335205,0.60705566,0.14819336,0.019042969,7.6480713,0.17681524992818123,0.05140268287365892,0.18649811347020626,0.2064577358253218,0.11398670370634453,772.0996133966997,1578.43840871124,851.6192872764044,848.5534999608776,495.8679584016213
23,rxn00187_d0,27.108702,20.178991,31.212477,28.383532,18.756927,17.675078603497777,5.138394231219444,18.643011936633652,20.63824647758016,11.394514605395134,27.108700931552445,27.108700931552445,27.108700931552445,27.108700931552445,27.108700931552445
24,rxn00191_d0_f,0.0,0.0,0.0,0.0,0.6769409,0.0,0.0,0.0,0.0,0.0,942.0016777998248,971.9520815762406,1009.346348685292,1038.8872895637808,932.9673687876256
25,rxn00192_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,rxn00208_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
27,rxn00209_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
28,rxn00237_d0_f,13.598022,12.000427,11.786987,12.287903,11.322662,2.2059544254060612,0.6413020133102192,2.3267582344090134,2.5757753145623656,1.422102864886338,1529.0433335024504,799.722374265749,1411.1748654035011,1126.7292481598142,509.7909678313704
29,rxn00248_d0_f,21.682861,26.717102,9.6102295,26.461792,22.416077,6.89782075527114,2.005293621147285,7.275563382888203,8.054217358743855,4.44678754219406,1129.2700713080717,809.1934916600434,1072.97279025117,1094.993163870219,1010.3705269915752
30,rxn00260_d0_f,1.685669,0.0,0.0,0.0,1.7731934,0.0,0.0,0.0,0.0,0.0,1002.8950740306342,1028.8180367683044,1017.8864017427682,1002.325183597684,1009.5473415666704
31,rxn00272_d0_f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0
32,rxn00275_d0_f,0.0,0.0,0.0,0.0,0.0,1.9241551208330232,0.5593789874803254,2.0295268660658725,2.246733298090759,1.2404365558543513,1000.0,1000.0,1000.0,1000.0,1000.0
33,rxn00300_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,rxn00313_d0,0.0,0.0,0.0,0.0,0.0,0.1768152499281813,0.05140268287365894,0.18649811347020645,0.2064577358253219,0.11398670370634462,0.2522956357320114,0.3832511626077421,0.2675154301056551,0.2486319371867953,0.2199810406765938
35,rxn00333_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
