rxn_ID,Control,FeLim,FeEx,ZnLim,ZnEx
EX_cpd00067_e0_o,374.49167,374.39673,374.00818,374.1717,374.27472
EX_cpd00007_e0_o,101.49232,88.64181,94.1896,93.67621,90.19515
EX_cpd00009_e0_o,348.07214,347.68265,348.35312,348.5927,348.02808
EX_cpd00008_e0_o,381.8666,381.54285,381.8065,381.91922,381.67456
rxn00001_d0_f,26.450405,26.080126,26.56355,26.365522,26.21832
rxn00018_d0,23.553968,22.889442,23.710533,23.674362,23.285723
rxn00048_d0,0,0,0,0,0
rxn00069_d0_f,1.4361221,0,0.26652893,0.11297137,0
rxn00076_d0,0,0,0,0,0
rxn00077_d0,0,0,0,0,0
rxn00086_d0_f,4.256569,5.302634,4.985819,5.114974,5.1187816
rxn00097_d0_f,48.098103,44.362774,46.598408,45.998444,44.81408
rxn00102_d0_f,3.1817153,1.2174984,2.4786186,2.1768696,1.3041035
rxn00117_d0_f,3.0115957,3.3292458,3.1013966,3.125257,3.2413108
rxn00121_d0,0,0,0,0,0
rxn00122_d0_f,4.9443197,5.025411,5.0113044,5.0222926,5.0316167
rxn00124_d0,0,0,0,0,0
rxn00148_d0_f,1.7867252,2.4242296,2.0747972,2.0781052,2.3474047
rxn00151_d0,0,0,0,0,0
rxn00154_d0,0,0,0,0,0
rxn00161_d0,0,0,0,0,0
rxn00175_d0,3.3657327,0.85593253,2.3179386,2.0527415,1.313406
rxn00179_d0_f,3.1269803,3.289248,3.185253,3.2052333,3.2547843
rxn00187_d0,163.75536,159.36668,161.89561,161.57793,160.34631
rxn00191_d0_f,0.06180987,0.12112696,0.094354145,0.12335514,0.13052417
rxn00192_d0,0,0,0,0,0
rxn00208_d0,0,0,0,0,0
rxn00209_d0,0,0,0,0,0
rxn00237_d0_f,3.7213426,3.7916343,3.7309618,3.715517,3.7297657
rxn00248_d0_f,39.38023,39.86953,39.34437,39.52581,39.774857
rxn00260_d0_f,9.918269,9.696041,9.88654,9.756872,9.700252
rxn00272_d0_f,5.1011944,4.8760886,5.019782,4.9848714,4.8663154
rxn00275_d0_f,6.7706676,7.329089,7.0009904,7.2973347,7.3255405
rxn00300_d0,0,0,0,0,0
rxn00313_d0,0,0,0,0,0
rxn00333_d0,0,0,0,0,0
rxn00337_d0_f,17.736996,17.13849,17.307585,17.382093,17.180344
rxn00338_d0,0,0,0,0,0
rxn00361_d0,14.202629,15.304485,14.677862,14.74611,15.113381
rxn00391_d0_f,1.3970225,1.365791,1.428803,1.4169825,1.3815905
rxn00392_d0,0,0,0,0,0
rxn00394_d0,2.8215647,3.2836187,3.091836,3.0805397,3.2443967
rxn00409_d0_f,2.7851205,2.8764155,2.8304262,2.8432226,2.8787253
rxn00414_d0,41.974873,44.69106,43.25455,43.587013,44.341717
rxn00420_d0_f,15.784486,13.681386,15.320119,15.287972,14.463612
rxn00459_d0_f,20.429804,20.03493,20.086859,20.174936,20.02776
rxn00493_d0_f,0.03960558,0.13098049,0.13370147,0.15295494,0.120573424
rxn00506_d0,0,0,0,0,0
rxn00527_d0_f,0.041513212,0.10056885,0.0988107,0.11699983,0.09898036
rxn00533_d0_f,1.3061358,1.6811817,1.644675,1.7064656,1.6857098
rxn00611_d0_f,0.9347809,0.9925523,0.9736018,0.9713023,0.9668616
rxn00689_d0,0,0,0,0,0
rxn00692_d0_f,2.9346402,2.5388646,2.660593,2.4906707,2.4920805
rxn00693_d0_f,0.83392197,0.83047974,0.9262824,0.94003886,0.8785362
rxn00720_d0_f,0.13148019,0.12456424,0.13866171,0.13415673,0.12828274
rxn00737_d0,0,0,0,0,0
rxn00747_d0_f,0.08935216,0.18138906,0.12634633,0.1311849,0.15971586
rxn00770_d0,3.6485732,5.182563,4.1103096,4.2436595,4.803997
rxn00777_d0_f,4.5760493,3.709918,4.472532,4.3796163,3.9813735
rxn00781_d0_f,0,0.9531432,0,0,0.5150734
rxn00782_d0_f,4.3202744,2.7208595,3.7681353,3.7191958,3.097965
rxn00800_d0_f,4.0318375,4.5595627,4.1588187,4.0509024,4.3099346
rxn00802_d0_f,4.221065,4.373385,4.309576,4.2514234,4.3353972
rxn00830_d0_f,7.85E-05,7.85E-05,7.76E-05,7.76E-05,7.84E-05
rxn00832_d0_f,0.95945024,0.96662295,0.9229685,0.90788925,0.9485687
rxn00838_d0,0,0,0,0,0
rxn00839_d0_f,1.614478,1.6439017,1.6177752,1.6124151,1.6299402
rxn00863_d0_f,3.6561842,3.9439077,3.7211194,3.7186387,3.8550816
rxn00899_d0,0,0,0,0,0
rxn00907_d0_f,21.595713,22.545313,22.017727,22.152802,22.416586
rxn00929_d0_f,0,0,0,0,0
rxn00931_d0_f,3.4823518,2.3839529,3.1906064,3.0886257,2.6764822
rxn00947_d0,0,0,0,0,0
rxn00974_d0_f,16.501677,16.253508,16.486462,16.348661,16.286844
rxn00980_d0_f,1.2274042,1.3902129,1.2879038,1.3040292,1.3647383
rxn01000_d0,0,0,0,0,0
rxn01011_d0_f,0.14597146,0.117823124,0.1526698,0.14507952,0.11470288
rxn01018_d0_f,30.3,32.000706,30.780243,31.182756,31.569134
rxn01019_d0_f,3.5004838,3.682278,3.619676,3.580386,3.696821
rxn01069_d0_f,1.2634085,1.6303229,1.4055166,1.4262275,1.5649487
rxn01100_d0_f,7.8153415,8.339483,8.231545,8.171548,8.276984
rxn01101_d0_f,19.506311,18.05544,19.51344,19.492327,18.848734
rxn01102_d0,0,0,0,0,0
rxn01106_d0_f,0.91800696,1.4739413,1.16842,1.1940727,1.4183404
rxn01111_d0,19.195576,18.678036,19.386375,19.355839,19.062494
rxn01115_d0,0,0,0,0,0
rxn01116_d0_f,0,0,0,0,0
rxn01200_d0_f,7.3167696,7.764571,7.5676856,7.599039,7.7285724
rxn01207_d0,0,0,0,0,0
rxn01211_d0_f,12.379417,12.86231,12.676823,12.784179,12.861318
rxn01249_d0_f,0.13235977,0.12594809,0.13941248,0.13479766,0.12941201
rxn01255_d0,0,0,0,0,0
rxn01256_d0,1.3894229,0.72445786,1.1458399,1.0704653,0.8671661
rxn01257_d0_f,6.014556,6.432964,6.0474634,6.103333,6.2591753
rxn01258_d0_f,1.6219476,1.7107203,1.6631262,1.697903,1.734855
rxn01301_d0_f,0,0.014154219,0,0,0
rxn01302_d0_f,2.705134,1.6816697,2.3971493,2.310931,1.902948
rxn01332_d0,0,0.09587939,0.003426239,0.007586806,0.06814756
rxn01334_d0_f,0,0,0,0,0
rxn01345_d0_f,3.4643567,3.9110503,3.7014472,3.6560316,3.8312838
rxn01353_d0_f,1.614478,1.6439017,1.6177752,1.6124151,1.6299402
rxn01396_d0,0,0,0,0,0
rxn01434_d0,0.110306785,0.43858755,0.28828853,0.31124374,0.42215776
rxn01465_d0_f,1.4669888,1.1150339,1.2394643,1.1434666,1.209173
rxn01476_d0_f,3.9676447,4.0536532,3.926954,3.9066274,4.032614
rxn01486_d0,0,0,0,0,0
rxn01512_d0_f,1.614478,1.6439017,1.6177752,1.6124151,1.6299402
rxn01539_d0_f,1.2707642,1.2402319,1.2320567,1.2514925,1.2505656
rxn01636_d0_f,2.4613361,2.203643,2.3469865,2.3004858,2.2504733
rxn01637_d0_f,0,0.22122534,0,0,0.08246469
rxn01643_d0_f,2.3493373,2.9289515,2.6271164,2.6037405,2.8271754
rxn01644_d0,7.374455,6.1122665,6.52534,6.613062,6.217084
rxn01652_d0_f,3.2584136,3.3971095,3.3800468,3.391267,3.413679
rxn01673_d0_f,1.614478,1.6439017,1.6177752,1.6124151,1.6299402
rxn01678_d0_f,1.614478,1.6439017,1.6177752,1.6124151,1.6299402
rxn01739_d0,0,0,0,0,0
rxn01740_d0_f,0.758779,0.7663939,0.7490778,0.752183,0.76323646
rxn01807_d0,0,0,0,0,0
rxn01827_d0,0,0,0,0,0
rxn01917_d0_f,3.4153106,3.1637046,3.325157,3.2866638,3.2036636
rxn01974_d0_f,8.1472,7.786886,7.991401,7.9624543,7.8627405
rxn01975_d0_f,2.4859438,2.478506,2.4797997,2.4453235,2.4525795
rxn02159_d0_f,3.2251303,3.4635742,3.2404099,3.257285,3.364863
rxn02212_d0,0,0,0,0,0
rxn02213_d0,0,0,0,0,0
rxn02251_d0,0,0,0,0,0
rxn02305_d0,0,0,0,0,0
rxn02320_d0_f,0,0.13506067,0,0.019412527,0.08417776
rxn02373_d0_f,2.83138,2.881115,2.9118752,2.9239058,2.922081
rxn02374_d0,0,0,0,0,0
rxn02380_d0_f,1.9855657,1.90032,1.9239634,1.9086403,1.889707
rxn02465_d0_f,1.7898258,2.2768836,2.0347564,2.114845,2.2229993
rxn02473_d0,0,0,0,0,0
rxn02474_d0_f,1.88812,1.8981133,1.9080814,1.9150954,1.91712
rxn02475_d0,0,0,0,0,0
rxn02476_d0_f,0.5315411,0.48573038,0.54522914,0.5393892,0.49340412
rxn02484_d0,0.30527368,0.44170654,0.33569163,0.3414059,0.4021609
rxn02507_d0,0,0,0,0,0
rxn02789_d0_f,0.018804979,0,0.000662443,0,0
rxn02811_d0_f,0,0,0,0,0
rxn02834_d0,0,0,0,0,0
rxn02835_d0_f,3.4593964,3.5482144,3.5761924,3.5545232,3.560121
rxn02895_d0,0,0,0,0,0
rxn02914_d0_f,0,0,0,0,0
rxn02928_d0_f,0,0.33380392,0.084242515,0.09457407,0.199668
rxn02929_d0_f,2.8119605,2.1471796,2.6270711,2.5382977,2.3221922
rxn02937_d0,1.5769609,2.1247509,1.7225872,1.7895682,1.968467
rxn02938_d0_f,13.238051,13.284761,13.238238,13.22691,13.252153
rxn02988_d0_f,4.4217706,4.70389,4.6793833,4.6652474,4.752513
rxn03004_d0,0,0.12920329,0,0,0.0597797
rxn03062_d0_f,0.36687836,0.40495375,0.39826584,0.3934182,0.3889077
rxn03080_d0_f,0.5555142,0.39581364,0.5436582,0.52743214,0.40802047
rxn03084_d0,0.10406782,0.94213665,0.38813767,0.43485102,0.7140988
rxn03108_d0_f,3.625407,3.6773882,3.6018546,3.5752177,3.6275554
rxn03136_d0_f,9.881589,9.893667,9.918719,9.9672,9.964629
rxn03137_d0,7.7354264,8.165748,7.945065,8.081894,8.17093
rxn03147_d0,7.7819786,7.690685,7.6664867,7.8109727,7.738028
rxn03175_d0_f,5.1368446,5.126836,5.065346,5.058498,5.08677
rxn03891_d0,0,0,0,0,0
rxn03892_d0,0,0,0,0,0
rxn03907_d0_f,3.8560336,3.951688,3.9020126,3.901104,3.9202986
rxn03908_d0,0,0,0,0,0
rxn03909_d0,0,0,0,0,0
rxn03910_d0,1.04E-12,5.90E-14,4.21E-13,3.28E-13,1.04E-13
rxn03958_d0_f,2.9136317,2.9249296,2.8882015,2.8730984,2.8988318
rxn04113_d0,0,0,0,0,0
rxn05023_d0,0,0.119372286,0.00710731,0.013206445,0.088734
rxn05024_d0,0,0,0,0,0
rxn05039_d0_f,1.2961806,1.3597274,1.3753619,1.3732635,1.3459193
rxn05040_d0,0,0,0,0,0
rxn05104_d0,0,0,0,0,0
rxn05106_d0_f,1.3678777,1.5442817,1.4484575,1.4571385,1.5250038
rxn05287_d0,0,0,0,0,0
rxn05330_d0_f,0.13385937,0,0.081278875,0.06254805,0.015873946
rxn05331_d0_f,0.6803538,0.5158856,0.53990775,0.55308056,0.52724624
rxn05335_d0_f,0.33973414,0.2732807,0.34651202,0.34078705,0.29740873
rxn05337_d0_f,4.4296155,4.482083,4.3735723,4.3689337,4.4218073
rxn05340_d0_f,2.8963625,3.070346,2.9220724,2.911167,2.9987621
rxn05342_d0_f,6.783254,6.8036613,6.825193,6.786229,6.78784
rxn05343_d0,0,0,0,0,0
rxn05345_d0,0,0,0,0,0
rxn05346_d0,0,0,0,0,0
rxn05348_d0,0,0,0,0,0
rxn05350_d0,0.7680414,1.1554595,0.87675214,0.8868443,1.0244662
rxn05465_d0_f,2.6848187,3.5441744,2.92948,3.0068483,3.4042773
rxn05736_d0,0,0,0,0,0
rxn06556_d0,1.7010194,1.5144908,1.6413802,1.6316469,1.5595782
rxn07441_d0_f,1.3226829,1.5358577,1.478871,1.4932852,1.5548146
rxn07579_d0,0,0,0,0,0
rxn08352_d0,0,0,0,0,0
rxn08392_d0_f,1.7450306,1.7617223,1.7557868,1.7592567,1.7419685
rxn08436_d0_f,4.468923,4.304947,4.4561195,4.4439397,4.380325
rxn08756_d0,0,0,0,0,0
rxn08766_d0,0,0,0,0,0
rxn09444_d0,0,0,0,0,0
rxn09449_d0,3.3535933,5.2209773,4.2361403,4.318202,4.9046044
rxn09453_d0,0,0,0,0,0
rxn11040_d0,0,0,0,0,0
rxn11700_d0,11.887269,15.28886,13.598065,13.696985,14.7325535
rxn11702_d0,0,0,0,0,0
rxn11703_d0,0,0,0,0,0
rxn12282_d0,0,0,0,0,0
rxn14012_d0,0,0,0,0,0
rxn14085_d0,0,0,0,0,0
rxn14094_d0,1.8072011,1.6723863,1.8405368,1.8315779,1.7535338
rxn14142_d0,1.3499331,1.2537202,1.3762238,1.3681959,1.3118734
rxn14261_d0,1.3499331,1.2537202,1.3762238,1.3681959,1.3118734
rxn15022_d0,0,0,0,0,0
rxn15069_d0,0,0,0,0,0
rxn15116_d0_f,6.228453,5.827059,5.9420314,5.9910026,5.9349155
rxn15166_d0,0,0,0,0,0
rxn15250_d0_f,4.0777507,3.7917726,4.141901,3.9150572,3.8183293
rxn15271_d0_f,6.3397474,6.4868803,6.427504,6.467978,6.525904
rxn15280_d0_f,11.182576,11.194429,11.14135,11.273408,11.235901
rxn15298_d0_f,16.066074,15.285694,15.771065,15.631851,15.385732
rxn15364_d0_f,15.5735855,15.011801,15.238329,15.40803,15.159866
rxn15435_d0,2.2082927,1.9730692,2.1922963,2.1657326,2.073965
rxn15493_d0,0,0,0,0,0
rxn15494_d0_f,10.021838,9.98926,10.162514,9.92634,9.922047
rxn17196_d0,1.700748,0,0.08364109,0.013890542,0
rxn17744_d0_f,8.7703705,8.879509,8.735306,8.781375,8.878834
rxn17803_d0_f,7.7696204,7.1718726,7.442777,7.465265,7.2698665
rxn18935_d0,0,0,0,0,0
rxn18936_d0_f,0.26459125,0.29575366,0.18397643,0.19731092,0.25233105
rxn18937_d0_f,2.6860168,2.383976,2.5926547,2.587901,2.4495075
rxn19027_d0_f,0.73480946,0.76471686,0.74017775,0.7423739,0.75053924
rxn19029_d0_f,0.13190244,0.12540619,0.1390797,0.1344937,0.12879004
rxn19030_d0,0,0,0,0,0
rxn19071_d0,0,0,0,0,0
rxn19240_d0_f,4.009759,4.16533,4.078681,4.1062922,4.1890745
rxn19241_d0_f,0.03872061,0.08566414,0.098595336,0.09904752,0.074523255
rxn19242_d0_f,0.5555241,0.6910577,0.61826974,0.6415496,0.656969
rxn19246_d0,0,0,0,0,0
rxn19253_d0,0,0,0,0,0
rxn19343_d0_f,2.7864466,1.8614753,2.3730903,2.292228,2.0221105
rxn19345_d0,10.034365,6.1444106,8.511551,8.149484,6.9574986
rxn19544_d0,0,0,0,0,0
rxn19545_d0,0,0,0,0,0
rxn19686_d0_f,0.21224637,0.1494064,0.10801206,0.12365648,0.14430358
rxn19828_d0_f,5.0672355,13.338062,8.0912895,8.484005,11.6908245
rxn19900_d0_f,3.677133,3.520618,3.6064034,3.527606,3.5183678
