,rxn_ID,Control,FeLim,FeEx,ZnLim,ZnEx,fluxes
0,EX_cpd00067_e0_o,374.49167,374.39673,374.00818,374.1717,374.27472,460.7651425889415
1,EX_cpd00007_e0_o,101.49232,88.64181,94.1896,93.67621,90.19515,123.46891269496311
2,EX_cpd00009_e0_o,348.07214,347.68265,348.35312,348.5927,348.02808,431.7747496875499
3,EX_cpd00008_e0_o,381.8666,381.54285,381.8065,381.91922,381.67456,442.76118181512726
4,rxn00001_d0_f,26.450405,26.080126,26.56355,26.365522,26.21832,4.982672969507235
5,rxn00018_d0,23.553968,22.889442,23.710533,23.674362,23.285723,138.37614777350106
6,rxn00048_d0,0.0,0.0,0.0,0.0,0.0,0.0
7,rxn00069_d0_f,1.4361221,0.0,0.26652893,0.11297137,0.0,0.0
8,rxn00076_d0,0.0,0.0,0.0,0.0,0.0,0.0
9,rxn00077_d0,0.0,0.0,0.0,0.0,0.0,0.0
10,rxn00086_d0_f,4.256569,5.302634,4.985819,5.114974,5.1187816,0.0
11,rxn00097_d0_f,48.098103,44.362774,46.598408,45.998444,44.81408,8.019645611551478
12,rxn00102_d0_f,3.1817153,1.2174984,2.4786186,2.1768696,1.3041035,0.0
13,rxn00117_d0_f,3.0115957,3.3292458,3.1013966,3.125257,3.2413108,0.10568567238308729
14,rxn00121_d0,0.0,0.0,0.0,0.0,0.0,0.0
15,rxn00122_d0_f,4.9443197,5.025411,5.0113044,5.0222926,5.0316167,0.0
16,rxn00124_d0,0.0,0.0,0.0,0.0,0.0,0.0
17,rxn00148_d0_f,1.7867252,2.4242296,2.0747972,2.0781052,2.3474047,0.0
18,rxn00151_d0,0.0,0.0,0.0,0.0,0.0,0.0
19,rxn00154_d0,0.0,0.0,0.0,0.0,0.0,8.232642889738958
20,rxn00161_d0,0.0,0.0,0.0,0.0,0.0,0.0
21,rxn00175_d0,3.3657327,0.85593253,2.3179386,2.0527415,1.313406,0.21137134476617467
22,rxn00179_d0_f,3.1269803,3.289248,3.185253,3.2052333,3.2547843,0.26014934740452256
23,rxn00187_d0,163.75536,159.36668,161.89561,161.57793,160.34631,26.00545012882807
24,rxn00191_d0_f,0.06180987,0.12112696,0.094354145,0.12335514,0.13052417,0.0
25,rxn00192_d0,0.0,0.0,0.0,0.0,0.0,0.0
26,rxn00208_d0,0.0,0.0,0.0,0.0,0.0,0.0
27,rxn00209_d0,0.0,0.0,0.0,0.0,0.0,0.0
28,rxn00237_d0_f,3.7213426,3.7916343,3.7309618,3.715517,3.7297657,3.2456340977749543
29,rxn00248_d0_f,39.38023,39.86953,39.34437,39.52581,39.774857,10.148805426715356
30,rxn00260_d0_f,9.918269,9.696041,9.88654,9.756872,9.700252,0.0
31,rxn00272_d0_f,5.1011944,4.8760886,5.019782,4.9848714,4.8663154,0.0
32,rxn00275_d0_f,6.7706676,7.329089,7.0009904,7.2973347,7.3255405,2.8310210753489953
33,rxn00300_d0,0.0,0.0,0.0,0.0,0.0,0.0
34,rxn00313_d0,0.0,0.0,0.0,0.0,0.0,0.2601493474045228
35,rxn00333_d0,0.0,0.0,0.0,0.0,0.0,0.0
36,rxn00337_d0_f,17.736996,17.13849,17.307585,17.382093,17.180344,0.8780040474902645
37,rxn00338_d0,0.0,0.0,0.0,0.0,0.0,0.0
38,rxn00361_d0,14.202629,15.304485,14.677862,14.74611,15.113381,0.0
39,rxn00391_d0_f,1.3970225,1.365791,1.428803,1.4169825,1.3815905,0.0
40,rxn00392_d0,0.0,0.0,0.0,0.0,0.0,0.0
