rxn_ID,Control,FeLim,FeEx,ZnLim,ZnEx
EX_cpd00067_e0_o,377.19632,377.88583,376.8576,377.08844,377.5159
EX_cpd00007_e0_o,192.43199,184.23483,187.58661,187.04631,185.18663
EX_cpd00009_e0_o,352.1407,351.5939,352.29962,352.46848,351.94962
EX_cpd00008_e0_o,384.37558,383.97467,384.2733,384.36426,384.12222
rxn00001_d0_f,17.17557,17.485039,17.654205,17.548641,17.646921
rxn00018_d0,26.614544,27.415312,27.157055,27.202961,27.323263
rxn00048_d0,-2.1427615,-2.1479094,-2.2313957,-2.2103658,-2.1924715
rxn00069_d0_f,-1.6347218,-2.3590074,-1.8794479,-2.0012825,-2.219968
rxn00076_d0,-2.2095678,-1.941469,-2.071681,-2.0456486,-1.9864821
rxn00077_d0,-1.8770485,-1.8058162,-1.8482642,-1.8312596,-1.807797
rxn00086_d0_f,6.193297,6.5773883,6.3648024,6.3922906,6.464178
rxn00097_d0_f,34.760258,33.561123,34.266235,33.978806,33.678036
rxn00102_d0_f,-0.27330825,-0.40153456,-0.33177754,-0.35023776,-0.38335684
rxn00117_d0_f,-0.027617538,0.043763537,-0.002028011,-0.000873037,0.020955294
rxn00121_d0,-6.0400815,-5.446709,-5.7566233,-5.731019,-5.5447693
rxn00122_d0_f,2.5213892,2.7223005,2.6229742,2.640268,2.698165
rxn00124_d0,2.0899744,2.4522378,2.2719631,2.3403916,2.4103277
rxn00148_d0_f,11.498709,11.508615,11.549171,11.491282,11.501812
rxn00151_d0,-3.6665661,-3.2320023,-3.487685,-3.451274,-3.322478
rxn00154_d0,-6.926845,-6.88083,-6.9305553,-6.9526544,-6.905811
rxn00161_d0,-6.7137027,-6.3381553,-6.5239434,-6.3616123,-6.352382
rxn00175_d0,5.076696,2.1783812,3.9254405,3.6384556,2.7623982
rxn00179_d0_f,0.87666684,0.8821788,0.8452251,0.84196603,0.8509445
rxn00187_d0,168.47873,165.22449,167.70575,167.49083,166.1636
rxn00191_d0_f,0.50690997,0.7147775,0.58610445,0.6759278,0.68351376
rxn00192_d0,-1.5572277,-1.5433224,-1.5289046,-1.5325879,-1.5423491
rxn00208_d0,-4.3485775,-4.56697,-4.4094462,-4.443964,-4.5084953
rxn00209_d0,-0.39315885,-0.6092366,-0.54147947,-0.58275586,-0.6022737
rxn00237_d0_f,2.7854002,3.2460277,2.8368697,2.8664477,3.086931
rxn00248_d0_f,38.25424,38.183083,38.028584,38.159344,38.16552
rxn00260_d0_f,3.6904757,3.7978396,3.7583075,3.7181551,3.7756739
rxn00272_d0_f,2.4355752,2.2727969,2.3858385,2.3471546,2.278114
rxn00275_d0_f,6.7415366,7.60564,7.030763,7.464809,7.5623703
rxn00300_d0,-2.6059444,-2.5039916,-2.4259062,-2.4476702,-2.4477153
rxn00313_d0,0.7281761,0.6075173,0.6773618,0.6589191,0.62076074
rxn00333_d0,-5.678887,-6.671562,-6.2074447,-6.1784925,-6.463601
rxn00337_d0_f,24.193975,23.289795,23.74383,23.8451,23.482933
rxn00338_d0,-4.220268,-4.687068,-4.4911795,-4.4724317,-4.6011047
rxn00361_d0,19.547005,20.540249,19.993015,20.037151,20.333536
rxn00391_d0_f,1.2854476,1.3718811,1.4337956,1.4134293,1.3769729
rxn00392_d0,-2.5117524,-2.3644438,-2.4326198,-2.4366877,-2.3978813
rxn00394_d0,2.0115545,2.261689,2.2469308,2.2183108,2.2695923
rxn00409_d0_f,0.25400877,0.2730242,0.26521423,0.26308048,0.27101284
rxn00414_d0,39.12718,39.678402,39.47774,39.597126,39.700695
rxn00420_d0_f,17.95243,16.49935,17.441406,17.490826,16.868013
rxn00459_d0_f,-0.08487773,-0.12783003,-0.10243917,-0.086352594,-0.113387406
rxn00493_d0_f,10.300499,10.580888,10.39215,10.419545,10.524506
rxn00506_d0,-4.160871,-3.8110247,-4.0121803,-3.9914103,-3.8846192
rxn00527_d0_f,1.7243577,1.5318384,1.6669611,1.6665608,1.5562195
rxn00533_d0_f,-0.14319485,-0.14984344,-0.15659195,-0.16360286,-0.15427902
rxn00611_d0_f,0.433018,0.59905833,0.4269157,0.4420216,0.52752376
rxn00689_d0,-1.8536623,-2.0086827,-1.917591,-1.976457,-1.9883595
rxn00692_d0_f,-0.35027465,-0.4850322,-0.40085703,-0.44869947,-0.4633385
rxn00693_d0_f,3.988175,3.8017108,3.9697473,3.9782052,3.848728
rxn00720_d0_f,0.37687895,0.3397921,0.3935292,0.38737196,0.35615107
rxn00737_d0,-6.680024,-6.412301,-6.533828,-6.5182314,-6.454636
rxn00747_d0_f,1.7573313,1.8313098,1.8219379,1.7959034,1.8131061
rxn00770_d0,-2.048006,-1.351866,-1.82306,-1.779464,-1.5255355
