	Control	FeLim	FeEx	ZnLim	ZnEx
EX_cpd00067_e0_o	372.78708	373.38342	372.4408	372.4811	372.62018
EX_cpd00007_e0_o	184.1868	173.82173	176.77997	176.22049	174.83707
EX_cpd00009_e0_o	340.5655	339.79547	341.27368	341.01456	339.74173
EX_cpd00008_e0_o	387.86102	387.51068	387.9137	387.9034	387.4325
rxn00001_d0_f	27.758743	29.967503	27.521738	28.04015	30.926796
rxn00018_d0	38.995747	40.01183	39.501156	39.53125	39.9371
rxn00048_d0	0.21975644	0.008952928	0.026967572	0.03558269	0.152772
rxn00069_d0_f	11.504665	6.7259617	7.1450286	7.22188	7.9388647
rxn00076_d0	-1.6942663	-1.5951555	-1.6389723	-1.6465437	-1.5830725
rxn00077_d0	0.20845348	0.19873379	0.16602543	0.17029618	0.28098345
rxn00086_d0_f	7.187531	7.5477467	7.6469016	7.6960554	7.537863
rxn00097_d0_f	36.11384	36.209785	35.16521	35.53068	36.365257
rxn00102_d0_f	0.29193562	0.2354494	0.23966771	0.226083	0.25568372
rxn00117_d0_f	4.5465794	4.884452	4.545558	4.625974	4.9753017
rxn00121_d0	6.658802	7.8642554	6.8103733	7.0440497	8.221849
rxn00122_d0_f	9.453007	10.56021	9.496708	9.744655	10.827582
rxn00124_d0	2.3950388	2.7376697	2.5517476	2.550366	2.7313087
rxn00148_d0_f	21.410187	22.954666	21.52085	21.41528	21.632654
rxn00151_d0	0.8575109	0.5733785	0.86116606	0.9068526	1.0498437
rxn00154_d0	-6.3142815	-6.2140517	-6.343168	-6.3018317	-6.1639347
rxn00161_d0	-6.5650105	-6.033427	-6.335066	-6.2541456	-6.176717
rxn00175_d0	4.1116486	3.4054012	3.5184116	3.50397	3.7098296
rxn00179_d0_f	2.585074	2.455069	2.2740548	2.296356	2.5373683
rxn00187_d0	52.70854	45.79791	55.774582	53.250103	44.72289
rxn00191_d0_f	3.410714	4.012297	3.4947445	3.6772594	4.007721
rxn00192_d0	-3.1653805	-3.0873857	-3.0194404	-3.049015	-3.0683384
rxn00208_d0	-10.305437	-10.476709	-10.212183	-10.275857	-10.516409
rxn00209_d0	3.699885	3.299834	3.322435	3.380115	3.4214776
rxn00237_d0_f	6.76685	7.259766	7.127428	7.5486436	6.8041315
rxn00248_d0_f	31.370829	31.02806	31.513172	31.661064	30.81719
rxn00260_d0_f	6.8301244	7.4733973	7.019015	6.9757147	7.3607965
rxn00272_d0_f	2.5793734	2.4330711	2.4500358	2.4246273	2.45003
rxn00275_d0_f	9.153303	10.055544	9.400969	9.536462	9.961906
rxn00300_d0	-3.7765114	-3.4373002	-3.4963288	-3.5102293	-3.5103703
rxn00313_d0	-2.4149342	-2.529737	-2.3944805	-2.422252	-2.5646062
rxn00333_d0	-6.2280607	-7.1269183	-6.831802	-6.8885245	-6.982964
rxn00337_d0_f	30.643106	29.77463	30.120564	29.952986	29.966509
rxn00338_d0	-2.3102973	-2.807132	-2.6379197	-2.7064857	-2.6417453
rxn00361_d0	3.346735	3.6837623	3.5766695	3.6006794	3.6712544
rxn00391_d0_f	16.110954	17.170574	16.01902	16.155643	17.740923
rxn00392_d0	18.313238	19.404251	18.056389	18.281773	20.083189
rxn00394_d0	0.43064806	0.7171915	0.5723917	0.5868205	0.6562949
rxn00409_d0_f	1.1985173	1.2172551	1.1425124	1.1549668	1.2580409
rxn00414_d0	10.098874	10.373786	10.575973	10.486656	10.260592
rxn00420_d0_f	7.9312	7.31452	7.933962	7.8297257	7.476229
rxn00459_d0_f	-0.13913983	-0.23068148	-0.15940608	-0.16793802	-0.21036966
rxn00493_d0_f	13.14059	13.564727	13.236943	13.323195	13.581239
rxn00506_d0	-0.4588873	-0.12544276	-0.238615	-0.21327083	-0.11686315
rxn00527_d0_f	1.9780704	1.909544	1.9530057	1.9512084	1.926262
rxn00533_d0_f	6.490604	6.5816097	6.1055145	6.2500353	6.8218946
rxn00611_d0_f	0.8577162	1.0292944	0.8854021	0.8797652	0.9587629
rxn00689_d0	-1.6614078	-1.7181838	-1.7190354	-1.6920549	-1.6848726
rxn00692_d0_f	-0.39486837	-0.44082657	-0.4513103	-0.46230528	-0.42407623
rxn00693_d0_f	3.991411	3.9134412	3.9386752	3.9324262	4.0029325
rxn00720_d0_f	0.6259875	0.7019675	0.6597023	0.6613576	0.6725489
rxn00737_d0	-10.418788	-10.4237995	-10.244333	-10.275078	-10.472373
rxn00747_d0_f	17.38105	16.789013	16.855598	17.014433	17.89822
rxn00770_d0	5.7282095	7.691212	6.2444797	6.329943	5.979439
rxn00777_d0_f	3.1663198	1.8170236	2.5295951	2.5160778	3.012214
rxn00781_d0_f	-1.7364155	-1.7989694	-1.759056	-1.767695	-1.7802398
rxn00782_d0_f	-1.4724671	-1.475922	-1.4600145	-1.4698856	-1.4747175
rxn00800_d0_f	7.3129525	7.5513678	7.3985386	7.6385937	7.122973
rxn00802_d0_f	2.1438084	2.1919725	2.1958067	2.1515427	2.1471012
rxn00830_d0_f	3.1755648	3.3195612	3.3277788	3.2969797	3.1728828
rxn00832_d0_f	0.10865801	0.099639826	0.07071549	0.03154463	0.0940161
rxn00838_d0	6.4171453	6.536555	6.5365233	7.0006213	6.01797
rxn00839_d0_f	1.2222869	1.2424322	1.1951495	1.1992325	1.2493385
rxn00863_d0_f	-0.001100131	0.023924498	0.006760367	0.008945202	0.019953039
rxn00899_d0	-3.8260593	-3.726	-3.7844844	-3.7714803	-3.7675517
rxn00907_d0_f	23.616405	24.581602	24.289654	24.42449	24.346365
rxn00929_d0_f	3.4206634	3.0814674	3.298016	3.2746882	3.094214
rxn00931_d0_f	1.033987	1.2989937	1.0975151	1.1150059	1.295985
rxn00947_d0	2.4504275	2.5307386	2.506847	2.5226562	2.5809414
rxn00974_d0_f	12.42942	12.371468	12.478832	12.446992	12.395185
rxn00980_d0_f	1.5013411	1.2013663	1.3399262	1.2849216	1.2273194
rxn01000_d0	-4.7672696	-4.978933	-4.8438005	-4.872083	-4.9394913
rxn01011_d0_f	0.35174537	0.43848684	0.42654985	0.41668233	0.42240745
rxn01018_d0_f	12.535702	12.621139	12.60283	12.475024	12.518411
rxn01019_d0_f	1.0153958	0.86035436	1.0189562	1.009179	0.91822094
rxn01069_d0_f	2.2707877	2.409408	2.3051362	2.3546443	2.3785162
rxn01100_d0_f	55.277733	55.76255	54.65678	54.978397	56.39115
rxn01101_d0_f	7.7009783	7.028033	7.956117	7.727696	7.3586197
rxn01102_d0	-0.93861645	-1.0565451	-1.0719184	-1.0696968	-1.0307091
rxn01106_d0_f	10.712157	10.384884	10.634694	10.775326	11.33327
rxn01111_d0	15.132698	14.593857	14.569116	14.51732	14.986103
rxn01115_d0	-6.6235747	-6.2145367	-6.4005537	-6.4054904	-6.416314
rxn01116_d0_f	-1.3664668	-1.4169217	-1.3511086	-1.3415283	-1.2686687
rxn01200_d0_f	8.557683	8.303063	8.321588	8.398834	8.791006
rxn01207_d0	-5.131858	-4.8969364	-5.000012	-4.9836655	-4.9728246
rxn01211_d0_f	14.842293	15.775323	15.682962	15.902387	15.601257
rxn01249_d0_f	1.5760082	1.9320141	1.7980512	1.7791876	1.8709705
rxn01255_d0	-0.29110968	-0.09938328	-0.20748363	-0.25623137	-0.13220002
rxn01256_d0	-3.2116873	-3.6290994	-3.4873452	-3.5212536	-3.5377424
rxn01257_d0_f	1.9286002	2.0292413	2.3511925	2.190736	1.8951489
rxn01258_d0_f	0.8237579	1.1373923	0.5851644	0.7298525	1.1796696
rxn01301_d0_f	-0.1059428	-0.13005958	-0.10964193	-0.109026656	-0.1182662
rxn01302_d0_f	0.60620034	0.7845466	0.7231595	0.7222018	0.77366245
rxn01332_d0	5.741638	7.003424	5.9160357	5.734574	4.884498
rxn01334_d0_f	-0.7032379	-0.7256918	-0.6927842	-0.71090114	-0.7325328
rxn01345_d0_f	13.745234	14.18362	13.637594	13.820636	14.516091
rxn01353_d0_f	1.2222869	1.2424322	1.1951495	1.1992325	1.2493385
rxn01396_d0	0.87687117	0.5911845	0.6310898	0.6582238	0.6965796
rxn01434_d0	2.120529	2.0363925	2.0723	2.0321267	2.0115182
rxn01465_d0_f	0.26111555	0.23865265	0.21904758	0.22574158	0.2443631
rxn01476_d0_f	0.2403659	0.41962186	0.28437284	0.29485974	0.34503973
rxn01486_d0	-0.25514743	-0.34122354	-0.33307835	-0.3247746	-0.30786157
rxn01512_d0_f	1.2222869	1.2424322	1.1951495	1.1992325	1.2493385
rxn01539_d0_f	0.20367348	0.14809875	0.13234203	0.14174598	0.16876449
rxn01636_d0_f	1.7682579	1.0673345	1.5171256	1.4327966	1.1630269
rxn01637_d0_f	1.2694117	1.8531061	1.4460431	1.533615	1.7948594
rxn01643_d0_f	1.4236736	1.671739	1.5471401	1.5566137	1.6864415
rxn01644_d0	5.651278	4.897892	5.297501	5.226506	5.073081
rxn01652_d0_f	3.4470832	3.5749292	3.5225894	3.495979	3.5538743
