rxn_ID	Control	FeLim	FeEx	ZnLim	ZnEx
EX_cpd00067_e0_o	350.9836	350.54163	350.3177	351.90317	350.9531
EX_cpd00007_e0_o	58.210773	58.447853	58.130802	58.359444	58.415257
EX_cpd00009_e0_o	317.77176	318.62573	317.73636	319.17627	318.77945
EX_cpd00008_e0_o	377.13934	376.77252	375.9889	377.5659	377.57086
rxn00001_d0_f	25.92688	24.201538	26.692017	25.297607	25.668823
rxn00018_d0	73.67659	73.25129	72.67557	73.50919	72.79491
rxn00048_d0	0	0	0	0	0
rxn00069_d0_f	24.275635	23.969727	24.663513	26.529541	24.955383
rxn00076_d0	0	0	0	0	0
rxn00077_d0	0	0	0	0	0
rxn00086_d0_f	0	0	0.004455566	0	0
rxn00097_d0_f	31.85083	30.700317	33.116577	31.382446	31.738037
rxn00102_d0_f	31.120972	32.176758	31.019531	31.396912	32.069397
rxn00117_d0_f	6.302185	6.1971436	6.0674744	6.0870056	5.944641
rxn00121_d0	20.505066	17.659576	22.062256	21.380295	20.864899
rxn00122_d0_f	19.886108	16.708252	21.498291	20.564697	20.091309
rxn00124_d0	0	0	0	0	0
rxn00148_d0_f	4.6119385	6.1157227	3.763977	5.5942383	5.926697
rxn00151_d0	0	0	0	0	0
rxn00154_d0	1.2367802	0.68083763	1.6493149	1.4755306	0.7294159
rxn00161_d0	0	0	0	0.39594555	0
rxn00175_d0	0.24388242	0.23618855	0.2432478	0.24977718	0.23226812
rxn00179_d0_f	13.385498	13.543701	13.589111	13.45459	14.091553
rxn00187_d0	27.108702	27.108702	27.108702	19.716415	24.955914
rxn00191_d0_f	1.2032471	1.2103271	1.1019287	1.1838989	1.0854492
rxn00192_d0	0	0	0	0	0
rxn00208_d0	0	0	0	0	0
rxn00209_d0	0	0	0	0	0
rxn00237_d0_f	13.564514	13.098755	11.652557	12.069672	11.230225
rxn00248_d0_f	25.876282	23.97049	25.306152	25.784912	25.593811
rxn00260_d0_f	13.891663	13.307251	14.185608	13.562561	12.888367
rxn00272_d0_f	0	0	0.19165039	0.050109863	0
rxn00275_d0_f	0.9571533	0.8852539	0.77941895	2.2874756	0.9295654
rxn00300_d0	0	0	0	0	0
