rxn_ID	Control	FeLim	FeEX	ZnLim	ZnEx
EX_cpd00067_e0_o	351.0193	351.05353	351.18408	353.78284	351.6436
EX_cpd00007_e0_o	57.43491	57.281055	57.453053	57.43306	57.45204
EX_cpd00009_e0_o	320.85574	322.8159	321.32614	322.55518	321.24265
EX_cpd00008_e0_o	369.5958	370.84174	369.20264	370.9143	366.161
rxn00001_d0_f	29.844116	26.824585	29.26941	27.869507	27.476196
rxn00018_d0	74.50758	74.269196	75.02505	74.19973	74.13597
rxn00048_d0	0	0	0	0	0
rxn00069_d0_f	26.268677	27.29065	25.911987	25.784119	24.811157
rxn00076_d0	0	0	0	0	0
rxn00077_d0	0	0	0	0	0
rxn00086_d0_f	0.052368164	0.0635376	0.050720215	0.051757812	0.057434082
rxn00097_d0_f	32.79663	34.54077	32.9469	33.11902	33.26245
rxn00102_d0_f	26.544373	26.32312	27.014648	26.298828	26.344604
rxn00117_d0_f	6.7562256	6.743103	6.6501465	6.659912	6.9156494
rxn00121_d0	20.338562	20.798706	20.380554	20.696686	22.107452
rxn00122_d0_f	21.185852	20.26892	21.093262	20.493347	21.654175
rxn00124_d0	0	0	0	0	0
rxn00148_d0_f	3.3561401	3.5007324	3.444336	3.4155884	5.5028076
rxn00151_d0	0	0	0	0	0
rxn00154_d0	0.70839787	0.7019272	0.20695591	0.60427094	1.1121197
rxn00161_d0	0	0	0	0	0
rxn00175_d0	0.14705914	0.2159948	0.1652336	0.2369262	0.09549585
rxn00179_d0_f	10.68396	12.387085	10.772705	10.678162	8.660065
rxn00187_d0	27.108702	27.108702	27.108702	27.108702	27.108702
rxn00191_d0_f	0.71295166	1.0056763	0.9414673	0.5716553	1.0038452
rxn00192_d0	0	0	0	0	0
rxn00208_d0	0	0	0	0	0
rxn00209_d0	0	0	0	0	0
rxn00237_d0_f	13.486206	12.9574585	13.829102	14.305908	11.094116
rxn00248_d0_f	26.348633	24.775879	26.328003	26.89331	24.370056
rxn00260_d0_f	12.183777	13.758667	11.842102	11.78833	12.79187
rxn00272_d0_f	0.23352051	0.18103027	0.18322754	0.272583	0.26904297
rxn00275_d0_f	0.35046387	0.40185547	0.75341797	1.9353027	0.88171387
rxn00300_d0	0	0	0	0	0
rxn00313_d0	0	0	0	0	0
rxn00333_d0	0	0	0	0	0
rxn00337_d0_f	18.14978	23.233276	18.575195	19.304565	18.165161
rxn00338_d0	0	0	0	0	0
rxn00361_d0	0	0	0	0	0
rxn00391_d0_f	23.367126	22.59967	23.54779	22.774414	23.837158
rxn00392_d0	23.21561	22.482414	23.400328	22.649118	23.65937
rxn00394_d0	0	0	0	0	0
rxn00409_d0_f	5.3551025	5.116272	5.3200684	5.3222656	4.6487427
rxn00414_d0	0.7570992	0.67227405	0.79153705	0.8757154	0.58315957
rxn00420_d0_f	4.130005	3.9040527	4.269409	4.9057617	5.6035767
rxn00459_d0_f	15.693237	17.301453	15.252563	14.5217285	14.448914
rxn00493_d0_f	2.4804688	2.6884766	2.4742432	2.5251465	2.3461304
rxn00506_d0	0	0	0	0	0
rxn00527_d0_f	2.2484741	0.8560791	2.2959595	2.2922974	2.2421265
rxn00533_d0_f	8.831543	9.026855	8.524597	9.14032	9.120789
rxn00611_d0_f	0.19677734	0.41223145	0.25256348	0.30297852	0.76434326
