rxn_ID	control	cold
rxn00001_d0_f	60.038372	59.500973
rxn00018_d0	32.142517	36.069504
rxn00048_d0	0	0
rxn00069_d0_f	18.718414	22.828629
rxn00076_d0	0.3460934	0.26442218
rxn00077_d0_f	4.897236	3.7620099
rxn00086_d0_f	1.0891575	0.793058
rxn00097_d0_f	0	0.97320175
rxn00102_d0_f	0	0
rxn00117_d0_f	3.4892006	4.7996016
rxn00121_d0	0.9005563	2.1479251
rxn00122_d0	0	0.29227448
rxn00124_d0_f	0	0
rxn00148_d0_f	2.3295581	1.3080419
rxn00151_d0	0.32226452	0
rxn00154_c0	0.74089986	0.36640945
rxn00154_d0	1.8678416	0.9571425
rxn00161_d0_f	0	0
rxn00175_d0	0	0.4153918
rxn00179_d0_f	0	0
rxn00187_d0	0	0
rxn00191_d0_f	0.8038262	0.7777882
rxn00192_d0	0	0
rxn00208_d0	0.7773759	0.39224005
rxn00209_d0	0	0
rxn00211_d0_f	1.3615941	2.587111
rxn00213_d0_f	5.7548137	6.940512
rxn00237_d0_f	1.2926084	1.2452251
rxn00239_d0_f	0	0
rxn00248_d0_f	7.6899433	7.306859
rxn00249_d0_f	6.5041785	6.310124
rxn00257_c0_f	0	0
rxn00260_d0_f	0.96408194	0.9430753
rxn00272_d0_f	4.8236012	4.6062336
rxn00275_d0_f	5.16842	5.1525555
rxn00300_d0	7.760969	7.3775625
rxn00313_d0	0	0
rxn00333_d0	0.09507419	0.275327
rxn00337_d0_f	0	0
rxn00338_d0	0	0
rxn00361_d0_f	0.3082893	0.25658125
rxn00391_d0_f	40.69758	42.403698
rxn00392_d0_f	37.530884	38.72644
rxn00394_d0_f	1.4567184	1.0159771
rxn00409_d0_f	0	0
rxn00414_d0	0.12660111	0.33741176
rxn00416_d0	0	0
rxn00420_d0	1.1186419	0.18568057
rxn00459_d0_f	2.981412	8.824837
rxn00493_d0_f	0.6126505	0.59848255
rxn00495_c0	0.09850608	0.6146087
rxn00499_c0_f	0	0.37870836
rxn00506_d0_f	0.74001503	2.0442321
rxn00527_d0_f	0.6656043	0.85748255
rxn00533_d0	0	0
rxn00611_d0_f	0.88811064	1.103894
rxn00689_d0_f	6.276411	5.641506
rxn00692_d0_f	0.59493494	0.63834584
rxn00693_d0_f	1.3071126	1.1633124
rxn00710_c0	0	0
rxn00720_d0_f	1.292307	0.5085843
rxn00737_d0	0	0
rxn00747_d0_f	21.507647	24.805008
rxn00770_d0_f	0	0
rxn00777_d0_f	12.213648	12.9107685
rxn00781_d0_f	2.0120528	1.7159398
rxn00782_d0_f	2.0880558	2.038376
rxn00799_c0_f	0	0
rxn00800_d0_f	0	0
rxn00802_d0_f	1.0484835	0.811954
rxn00830_d0_f	0	0
rxn00834_d0_f	1.1097051	0.8759184
rxn00838_d0	0	0
rxn00839_d0_f	0	0
rxn00863_d0_f	1.040587	1.8149178
rxn00899_d0_f	0	0
rxn00907_d0_f	0	1.4315376
rxn00917_d0	0.95760894	0.30595365
rxn00929_d0_f	1.3739882	1.3689821
rxn00931_d0_f	0.22061697	0.42753026
rxn00947_d0	0	0
rxn00974_d0_f	0.51439345	0.2165317
rxn00980_d0	1.1444583	1.1152215
rxn01000_d0	0	0
rxn01007_d0	0	0
rxn01011_d0_f	0.6647501	0.2708094
rxn01018_d0	0.07888383	0
rxn01019_d0	0.08043899	0.102195635
rxn01069_d0	0.20786977	0.26601118
rxn01100_d0_f	50.270054	54.083946
rxn01101_d0_f	1.7241913	6.6397295
rxn01102_d0_f	1.5671915	0.9698884
rxn01106_d0_f	1.114604	0
rxn01111_d0_f	30.2454	33.090424
rxn01115_d0_f	9.665963	8.528678
rxn01116_d0_f	1.1386249	0.9442859
rxn01200_d0_f	12.02104	9.838239
rxn01207_d0_f	0	0
rxn01211_d0_f	1.0023029	3.9111118
rxn01213_d0	3.4196897	3.2867177
rxn01249_d0_f	0	0.42221797
rxn01255_d0	0	0
rxn01256_d0	0	0.1776079
rxn01257_d0_f	0.52085775	0.38953066
rxn01258_d0_f	1.3981161	1.936466
rxn01301_d0_f	0.9783876	0.8720461
rxn01302_d0_f	0.16400346	0.33430162
rxn01332_d0	0	0.7333984
rxn01334_d0_f	0.97637975	0.3616449
rxn01345_d0	2.3990755	3.8200047
rxn01353_d0_f	0	0
rxn01361_c0_f	0.40208465	0.39763296
rxn01362_c0_f	0	1.9967883
rxn01396_d0_f	0.37250924	0
rxn01434_d0	0	0
rxn01465_d0_f	1.2553556	1.9229441
rxn01476_d0_f	1.1416597	0.93679124
rxn01486_d0	1.038653	1.0005622
rxn01512_d0_f	0	0
rxn01611_c0	0.7682646	1.2570364
rxn01636_d0_f	0.4379878	0.02106168
rxn01637_d0_f	1.1942672	1.1942672
rxn01643_d0_f	0.6687767	0.99808645
rxn01644_d0	0	0
rxn01652_d0_f	1.0553545	0.915488
rxn01673_d0_f	0	0
rxn01678_d0_f	0	0
rxn01739_d0_f	0	0
rxn01740_d0_f	0.7485073	0.74619925
rxn01807_d0_f	0.42705607	0
rxn01827_d0	0.6879611	0.6387397
rxn01917_d0_f	0	0
rxn01935_d0_f	0.3536465	0.4290103
rxn01974_d0_f	0.2349503	0.22212005
rxn01975_d0_f	0.7956669	0.42545977
rxn02159_d0_f	0.41623247	0.880084
rxn02212_d0	0	0
rxn02213_d0_f	0	0.42552567
rxn02251_d0	0.04360414	0
rxn02305_d0_f	1.0050436	1.1681583
rxn02320_d0_f	0.5543535	0.5231354
rxn02374_d0	0	0
rxn02380_d0_f	0.13486886	0.13400237
rxn02465_d0_f	1.4952865	2.323561
rxn02473_d0	0	0
rxn02474_d0_f	0	0
rxn02475_d0	4.3911266	4.431177
rxn02476_d0_f	0	2.2798905
rxn02484_d0_f	0	0
rxn02507_d0	0	0
rxn02789_d0_f	0.28440237	0.32160068
rxn02811_d0_f	0.21969831	0.32493657
rxn02834_d0	0.03436828	0.16158187
rxn02835_d0_f	1.2281148	2.3776574
rxn02895_d0	0	0
rxn02914_d0_f	0.68080544	2.3430831
rxn02928_d0_f	0.90596855	0.73430485
rxn02929_d0_f	0.25444037	0.47934937
rxn02937_d0	0	0.5617713
rxn02938_d0_f	0	14.42909
rxn03004_d0_f	1.1068181	1.3407937
rxn03062_d0_f	0.4595238	0.26095164
