rxn_ID	control	cold
rxn00001_d0_f	63.73022	62.85395
rxn00018_d0	29.780796	36.76578
rxn00048_d0	0	0
rxn00069_d0_f	21.010117	23.342829
rxn00076_d0	0.20845266	0.16941133
rxn00077_d0_f	5.40061	4.0202365
rxn00086_d0_f	0.8230598	0.6464384
rxn00097_d0_f	0	0.9618106
rxn00102_d0_f	0	0
rxn00117_d0_f	5.911414	5.050119
rxn00121_d0	0.69960576	1.7840534
rxn00122_d0	0	0
rxn00124_d0_f	2.4583669	1.7275665
rxn00148_d0_f	0.6853399	0
rxn00151_d0	1.3718469	0
rxn00154_c0	0.10796779	0.43061817
rxn00154_d0	0.72261107	2.0861092
rxn00161_d0_f	0	0
rxn00175_d0	0	0
rxn00179_d0_f	0	2.7204485
rxn00187_d0	0	0
rxn00191_d0_f	2.2765887	2.272076
rxn00192_d0	0	0
rxn00208_d0	1.051811	1.0112457
rxn00209_d0	0	0
rxn00211_d0_f	1.5382862	2.0828156
rxn00213_d0_f	7.565475	6.965307
rxn00237_d0_f	1.2072932	1.3227063
rxn00239_d0_f	0	0
rxn00248_d0_f	8.415189	6.8996463
rxn00249_d0_f	6.9489536	6.8119674
rxn00257_c0_f	0.08062744	0
rxn00260_d0_f	1.1429641	1.065861
rxn00272_d0_f	3.9465106	3.6333122
rxn00275_d0_f	5.700601	5.6286798
rxn00300_d0	7.4064465	7.304512
rxn00313_d0	0	0
rxn00333_d0	0	0
rxn00337_d0_f	0	0
rxn00338_d0	0	0
rxn00361_d0_f	0.3096124	0.2555442
rxn00391_d0_f	46.5205	47.13565
rxn00392_d0_f	43.399452	43.60078
rxn00394_d0_f	0.8373084	0.75079095
rxn00409_d0_f	0	0
rxn00414_d0	0.08389244	0
rxn00416_d0	0	0
rxn00420_d0	0.99920756	0.26881883
rxn00459_d0_f	3.0286949	10.055064
rxn00493_d0_f	0.6332287	0.51945865
rxn00495_c0	0.06600701	0.48373792
rxn00499_c0_f	0	0
rxn00506_d0_f	0.6954512	2.03278
rxn00527_d0_f	0.85033447	0.8214389
rxn00533_d0	0.007680416	0
rxn00611_d0_f	0.40998632	0.7699028
rxn00689_d0_f	6.3147683	5.659371
rxn00692_d0_f	0.5140367	0.61150575
rxn00693_d0_f	0.556218	1.0439267
rxn00710_c0	0	0
rxn00720_d0_f	1.2607086	0.41771144
rxn00737_d0	0	0
rxn00747_d0_f	22.13362	22.839327
rxn00770_d0_f	0	0
rxn00777_d0_f	11.35657	13.096751
rxn00781_d0_f	2.7250328	2.043377
rxn00782_d0_f	1.8013954	1.2067146
