,rxn_ID,treatment,Pred,FBA,kapp,Vbf,RES,subsystems,rxn_dist_quantile
0,EX_cpd00001_e0_i,control,251.41147,3.0203556827914757,,,,,
1,EX_cpd00007_e0_o,control,32.093044,4.457619547442361,,,,,
2,EX_cpd00008_e0_o,control,4.2571507,0.0,,,,,
3,EX_cpd00009_e0_o,control,199.22857,0.0,,,,,
4,EX_cpd00009_e0_i,control,0.0,0.06954034498499971,,,,,
5,EX_cpd00011_e0_i,control,40.00692,4.147801651562386,,,,,
6,EX_cpd00013_e0_o,control,5.970580000000041,0.0,,,,,
7,EX_cpd00013_e0_i,control,0.0,0.37678267253219394,,,,,
8,EX_cpd00048_e0_o,control,0.0,0.0,,,,,
9,EX_cpd00048_e0_i,control,1.4808400000000574,0.009431658683411899,,,,,
10,EX_cpd00067_e0_o,control,245.20906,0.5229008309044367,,,,,
11,EX_cpd11632_e0_i,control,256.1339,36.20750890837254,,,,,
12,bio1_biomass,control,5.455777,0.12091870106938177,,,,,
13,rxn00001_d0_f,control,63.690106704,0.0,0.0,0.0,,,
14,rxn00001_d0_r,control,0.0,0.0,0.0,0.0,,,
15,rxn00018_d0,control,29.780796,4.631996406254514,0.1097644358243079,24.6911136662868,1248.9372547833389,"{'Photorespiration_(oxidative_C2_cycle)_in_plants', 'Rubisco_shunt_in_plants', 'Calvin-Benson-Bassham_cycle_in_plants'}",
16,rxn00048_d0,control,0.0,0.0,0.0,0.0,350.2282129540662,"{'Riboflavin,_FMN_and_FAD_biosynthesis_in_plants'}",
17,rxn00069_d0_f,control,20.05756397,7.9600780913974525,0.0,0.0,,,
18,rxn00069_d0_r,control,0.0,0.0,0.2931947223126774,1.9347390048922315,,,
19,rxn00076_d0,control,0.20845266,0.0,0.0,0.0,118.2329003550605,"{'Niacin,_NAD_and_NADP_biosynthesis_in_plants'}",
20,rxn00077_d0_f,control,0.0,0.0,533.3870545075564,0.0,,,
21,rxn00077_d0_r,control,4.283388,0.0,533.3870545075564,0.0,,,
22,rxn00086_d0_f,control,0.67961109,0.0,0.0111485792360241,1.241538674454829,,,
23,rxn00086_d0_r,control,0.0,0.009431658683411896,0.0115756134482722,1.2890944641744984,,,
24,rxn00097_d0_f,control,0.0,0.07738796868440406,0.0293113679034782,4.738376433299156,,,
25,rxn00097_d0_r,control,6.0113487,0.0,0.0,0.0,,,
26,rxn00102_d0_f,control,0.0,0.0,0.0108638678813691,1.214574805624132,,,
27,rxn00102_d0_r,control,3.674464,0.33010805391941406,0.0262255143591066,2.931998930116809,,,
